model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
XE	23252	65	1.812913357	9958994	16.07339215	2.891493633	-1.99992847	2016	2144	205.1681995	32.98461538	356.5153846	0.371068722	0.975334716	0.510542945	0.214335157	2418629584	2.473837062	1.851995727	2	0.181513804
XE	23253	52	1.716003344	9395130	15.22970007	2.432500268	-1.981995953	1233	1337	148.6960205	25.71153846	219.4249623	0.452216565	0.969720826	0.631491437	0.293654512	1800980848	1.91043795	1.669963242	7	0.135917913
XE	23261	45	1.653212514	8741056	14.82425602	0.840452041	-1.99992847	946	1034	125.3172711	22.97777778	171.5222222	0.471829258	0.967966509	0.636543587	0.254120931	1434245308	1.992844755	1.62383526	6	0.099368849
XE	23262	65	1.812913357	9958994	16.07339215	2.891493633	-1.99992847	2016	2144	205.1681995	32.98461538	356.5153846	0.371068722	0.975334716	0.510542945	0.214335157	2418629584	2.473837062	1.851995727	2	0.181513804
XE	23263	52	1.716003344	9395130	15.22970007	2.432500268	-1.981995953	1233	1337	148.6960205	25.71153846	219.4249623	0.452216565	0.969720826	0.631491437	0.293654512	1800980848	1.91043795	1.669963242	7	0.135917913
XE	23311	249	2.396199347	9996319	142.8201795	-11.1569513	-1.857920778	11297	12089	769.7693508	48.5502008	1068.474284	0.908904314	0.965499672	1.248460014	0.308024125	8502730151	-0.390142981	2.063948216	279	0.154150449
XE	23312	259	2.413299764	9994610	145.3656358	-10.18525738	-1.806957234	11641	12507	773.0050443	48.28957529	913.9584568	0.910175257	0.969673197	1.263232459	0.305346887	8870859650	-0.431930208	2.176707725	318	0.140671249
XE	23313	247	2.392696953	9990940	140.6371942	-10.01380022	-1.779962062	9150	10002	680.3162514	40.49392713	685.7631744	0.926244745	0.95728414	1.287464824	0.300983172	8448886313	-0.523565494	2.347950991	325	0.147725417
XE	23321	249	2.396199347	9996319	142.8201795	-11.1569513	-1.857920778	11297	12089	769.7693508	48.5502008	1068.474284	0.908904314	0.965499672	1.248460014	0.308024125	8502730151	-0.390142981	2.063948216	279	0.154150449
XE	23322	259	2.413299764	9994610	145.3656358	-10.18525738	-1.806957234	11641	12507	773.0050443	48.28957529	913.9584568	0.910175257	0.969673197	1.263232459	0.305346887	8870859650	-0.431930208	2.176707725	318	0.140671249
XE	23323	248	2.394451681	9990940	140.5359063	-9.857359987	-1.767398471	9325	10175	679.5050748	41.02822581	687.6712649	0.925557767	0.956363391	1.288791206	0.299759749	8489672744	-0.536594542	2.380623664	339	0.145175534
XE	23331	237	2.374748346	9996319	131.8212493	-9.640931267	-1.815560896	9338	10122	676.8252052	42.70886076	783.4530144	0.914222667	0.963872923	1.276811702	0.300791398	8135423666	-0.488674986	2.197617318	331	0.136908523
XE	23332	255	2.40654018	9994610	139.5822606	-9.080276289	-1.822185521	11203	12063	766.6315817	47.30588235	950.0005558	0.907989783	0.96695639	1.272875951	0.313396126	8763175880	-0.400936244	2.058935176	353	0.126797549
XE	23333	253	2.403120521	9990940	146.1159208	-10.80104143	-1.842344978	10499	11345	749.8514299	44.84189723	836.0463329	0.920788412	0.965387785	1.268226372	0.306144988	8634022625	-0.461193993	2.233552636	328	0.154678109
XE	23341	114	2.056904851	9996319	54.61624754	-3.817132845	-1.897203913	2456	2816	300.7136419	24.70175439	215.0961031	0.863535819	0.952831865	1.258109595	0.3390156	3964594367	-0.255072144	1.681841411	144	0.06854641
XE	23342	140	2.146128036	9994610	66.8153965	-3.849852232	-1.825566068	3241	3697	345.9489549	26.40714286	328.5596608	0.884906698	0.94628013	1.300967648	0.314317823	4901726178	-0.442190258	1.90194959	198	0.069161125
XE	23343	135	2.130333768	9990940	67.36586728	-4.071529202	-1.831747708	2725	3183	328.3278646	23.57777778	229.1263682	0.906758718	0.94116828	1.323150326	0.320627872	4703211870	-0.495905972	2.045235826	169	0.079789546
XE	23351	81	1.908485019	9996319	36.54773962	-1.435915493	-1.915981617	1133	1391	187.0955469	17.17283951	117.1697531	0.868350682	0.928546544	1.300381666	0.367586833	2830453566	-0.273636618	1.652856828	108	0.036428653
XE	23352	87	1.939519253	9994610	38.85179132	-0.074364493	-1.908519313	1376	1646	206.9316243	18.91954023	136.5399626	0.881354418	0.938430549	1.330216651	0.385029154	3075037865	-0.412946663	1.742883811	128	0.069333632
XE	23353	85	1.929418926	9990940	43.98237323	-2.13277103	-1.852962011	1085	1355	182.1667889	15.94117647	91.69887955	0.922879101	0.926446907	1.341957148	0.360460385	2943196528	-0.597337607	1.902884582	121	0.102345237
XE	23361	45	1.653212514	8741056	14.63118049	0.801227769	-1.99992847	946	1034	125.3172711	22.97777778	171.5222222	0.464543328	0.967966509	0.626245382	0.244090233	1435925406	2.008157226	1.635570835	1	0.103659416
XE	23362	63	1.799340549	9958994	15.11913964	3.166443167	-1.99992847	1891	2015	196.8661817	31.98412698	335.015873	0.361161386	0.974772957	0.498551471	0.216052398	2348486968	2.53619945	1.878478612	2	0.188810416
XE	23363	52	1.716003344	9395130	14.82090807	2.426296841	-1.981996326	1232	1336	148.671923	25.69230769	219.9819005	0.439544438	0.969296945	0.613994471	0.281086224	1804820372	1.986710388	1.717004817	6	0.143779297
XE	23411	143	2.155336037	9781478	64.02868207	-4.586812265	-1.940262178	9149	9451	524.9090244	66.09090909	1497.745198	0.638011878	0.983776797	0.835079656	0.255794038	4957740342	1.114541606	1.148422185	16	0.069426616
