model	simID	S	log10S	tree.length	PD	Gamma	Beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
Amphibian	6603	28	1.447158031	25.8761119	10.29008866	-0.811456754	-0.240486841	68	172	28.13483746	6.142857143	3.830687831	0.742522124	0.464652015	1.161711743	0.343980455	2570.998436	0.408895864	1.535170585	2	0.082193071
Amphibian	6604	26	1.414973348	23.94915097	9.78333601	-1.007087933	0.648791669	44	142	24.83900059	5.461538462	2.658461538	0.759688496	0.429197192	1.190946366	0.39043505	2139.942996	0.341082515	1.599278341	1	0.082327802
Amphibian	6666	25	1.397940009	41.15884375	5.943070213	0.899039205	-0.508656597	50	138	26.51549134	5.52	2.76	0.632691788	0.540792541	1.081043181	0.47864027	3724.32636	0.807200694	1.879945286	1	0.191073951
Amphibian	6691	43	1.633468456	38.90994126	13.9303584	-1.962555422	-0.200559475	133	307	46.07805936	7.139534884	4.361018826	0.676206283	0.420035491	1.056835677	0.24157188	5945.103103	0.669411969	1.836557324	9	0.12828122
Amphibian	6692	37	1.568201724	26.59722441	16.49404501	-2.362769964	-0.087265951	96	246	38.65151029	6.648648649	3.012012012	0.841274056	0.401022147	1.269310822	0.258796939	3468.655799	-0.309376212	1.85976646	1	0.070792124
Amphibian	6693	36	1.556302501	26.09294956	15.77415832	-2.386205031	2.306551461	61	209	35.06799135	5.805555556	2.161111111	0.848287257	0.363586031	1.292405784	0.264886085	3225.772858	-0.337391412	1.891957025	45	0.075207319
Amphibian	6694	22	1.342422681	20.14075302	11.31385297	-2.406450986	0.549341997	39	115	20.87678784	5.227272727	2.564935065	0.854983679	0.451779155	1.247176421	0.274869582	1474.638406	-0.368698943	1.786894742	35	0.09669341
Amphibian	6733	24	1.380211242	21.28982706	9.28810792	0.351292501	-0.52065025	68	142	24.6525848	5.916666667	4.775362319	0.805611976	0.627558048	1.277485719	0.329537022	1788.133477	-0.04120886	2.395857221	37	0.051755968
Amphibian	6734	21	1.322219295	20.5043557	7.506169149	0.910770509	-0.350480837	49	113	20.8239434	5.380952381	3.647619048	0.779856125	0.611904762	1.264511203	0.371399708	1521.154742	0.063926424	2.321522056	3	0.075112454
Amphibian	6756	21	1.322219295	61.06909449	5.588706405	0.879636544	-0.757256987	61	123	21.62650537	5.857142857	6.028571429	0.529631982	0.585493827	0.850068366	0.344619076	4644.934624	1.675752202	1.496456171	5	0.165499366
