model	simID	S	tree.length	PD	gamma	beta	Colless	Sackin	Yule.PDA.ratio	MRD	VRD	PSV	mean.Iprime	MPD	VPD	MGL_principal_eigenvalue	MGL_asymmetry	MGL_peakedness	MGL_eigengap	nLTT_stat
Mammal	1960	61	10.11437815	30.24750328	-4.206012932	-0.908199813	286	546	75.31824394	8.950819672	9.347540984	0.84847873	0.491185467	1.219494932	NA	2138.373021	-0.075478173	1.461907328	74	0.094304002
Mammal	1961	38	9.40809898	18.36907409	-3.903992431	-1.010521497	201	341	46.03267819	8.973684211	9.593883357	0.701109514	0.475765192	0.945221722	NA	1246.47636	0.400114932	1.417990182	1	0.130090953
Mammal	1962	37	8.610473387	18.8854126	-4.022044304	-0.830645418	165	303	42.42176028	8.189189189	8.046546547	0.747913115	0.446475838	1.01269427	NA	1089.035141	0.26295691	1.444503192	5	0.132830736
Mammal	1963	33	7.04932063	19.53237597	-4.261227578	-0.81363612	133	257	37.04648187	7.787878788	5.547348485	0.837179621	0.401103989	1.112072069	NA	784.8800647	-0.245746534	1.525108014	3	0.173286316
Mammal	1964	32	6.724226829	19.38000751	-4.215485614	-0.476057036	102	224	33.58074597	7	4.193548387	0.866642046	0.358325702	1.158481904	NA	720.6105605	-0.30726645	1.561263871	2	0.184282068
Mammal	1965	30	6.310324461	18.5744836	-3.996827798	-0.103019937	74	190	30.14675876	6.333333333	2.643678161	0.903834913	0.316337936	1.222020153	NA	633.1441454	-0.397202599	1.623604117	30	0.191358269
Mammal	1966	29	6.143450306	18.02469525	-3.891173116	2.10905954	46	160	26.77946293	5.517241379	1.687192118	0.921330209	0.262143875	1.256295861	NA	586.9857008	-0.41752522	1.659225317	29	0.19336916
Mammal	1967	20	5.893710517	11.37607043	-2.76755074	1.864886264	25	99	16.98579025	4.95	1.313157895	0.886275742	0.199305556	1.257889758	NA	393.7143172	-0.459568988	1.768802205	19	0.141131676
Mammal	1998	23	9.971344962	13.26474084	-2.10727476	-0.980775218	70	144	25.19122118	6.260869565	4.565217391	0.883055034	0.539128296	1.235480111	NA	774.4024199	-0.304325875	1.538582256	32	0.147931103
Mammal	1999	22	9.917815938	12.32553956	-1.904339138	-0.483351662	49	121	22.10017873	5.5	3.404761905	0.876623382	0.493041126	1.242166412	NA	731.1118859	-0.298466499	1.592341636	31	0.131455038
Mammal	2	157	163.3573914	18.36187074	4.451070469	-0.800639116	1012	1798	200.4638038	11.4522293	16.13392128	0.615414517	0.597940303	1.123111781	NA	97236.77423	0.672814289	2.318196928	1	0.372055379
Mammal	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	2044	47	34.67452105	13.63228878	-0.273590077	-0.304273613	154	338	51.23861501	7.191489362	4.679925994	0.771841941	0.558477633	1.282714811	NA	5944.810928	-0.224104339	3.622612482	2	0.14245232
Mammal	2045	35	29.69219769	11.20293464	-0.290762723	-0.241117753	106	236	35.94792048	6.742857143	4.196638655	0.76253497	0.507989418	1.242737013	NA	3753.215007	0.214388876	3.586915689	6	0.118567448
Mammal	2046	33	28.43940339	10.45537124	-0.468950292	0.383921883	75	199	32.42155996	6.03030303	2.96780303	0.766353066	0.477310091	1.256260024	NA	3298.348349	-0.123232607	3.64597661	3	0.122183907
Mammal	2047	20	24.67757201	8.370497807	-1.082489109	-0.015866547	46	108	18.40001132	5.4	3.2	0.729862151	0.511000882	1.099285502	NA	1721.93622	0.563301746	2.163622647	2	0.069174744
Mammal	2090	22	41.33785948	7.113129062	0.481353775	-1.50497631	109	165	28.8511131	7.5	14.26190476	0.531608409	0.842736893	0.790071607	NA	3240.31705	1.76318802	1.251254153	5	0.110139478
Mammal	21	278	18.82370739	111.7591216	-7.868391088	-0.797289371	3406	4818	359.6090627	17.33093525	37.70236085	0.826020507	0.560758216	1.254444786	NA	18807.44637	-0.776472315	3.187491019	1	0.08606778
Mammal	212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mammal	2124	94	51.54695038	16.52501438	-0.943957765	-0.99129753	507	927	122.4773075	9.861702128	14.35701213	0.642106548	0.614747083	1.123252203	NA	17890.95267	0.580507345	2.048709782	1	0.253125926
Mammal	2125	63	26.11313814	18.60466113	-1.040038593	-1.176279899	381	635	84.68909543	10.07936508	14.78392217	0.67589997	0.619048731	1.076396622	NA	5973.871318	0.908364905	1.810640119	11	0.13792138
Mammal	2126	57	22.90414225	18.38334175	-1.422155631	-1.255543486	328	556	77.85391085	9.754385965	11.47431078	0.69325408	0.638022049	1.085614274	NA	4776.015295	0.525813644	1.890396416	1	0.11666013
Mammal	2127	56	20.36122093	19.42946409	-1.67861294	-1.176074325	273	499	73.82855915	8.910714286	10.26461039	0.767287394	0.626345341	1.210299872	NA	4003.678396	0.400855195	1.907144558	24	0.100288292
Mammal	2128	36	18.66252867	11.1599112	-0.818700575	-1.193773069	180	310	45.73293637	8.611111111	11.1015873	0.571895946	0.58934057	0.865529963	NA	2440.958163	1.586038593	2.145105204	3	0.127315602
Mammal	2129	34	17.10667113	10.40038006	-1.082483966	-1.167810536	148	272	42.1775883	8	8.96969697	0.567354896	0.57219888	0.862534115	NA	2129.778502	1.394569967	2.041645423	1	0.133961225
Mammal	213	21	12.73986482	16.87354439	-5.249259975	1.564383599	33	105	19.17058626	5	1.7	0.955128854	0.472222222	1.143814159	NA	835.2666781	-0.231329385	1.191626995	25	0.374705354
Mammal	2130	33	14.16839248	11.14247306	-1.625986582	-0.992811919	116	238	38.68108074	7.212121212	7.672348485	0.65236644	0.550066138	1.002977222	NA	1649.71719	1.070458678	1.963178122	9	0.113557697
Mammal	2131	28	11.27316667	10.90413048	-1.80576289	-1.143972158	91	193	33.1359033	6.892857143	5.876984127	0.664846616	0.572991071	0.980380376	NA	1127.040742	0.548238861	1.862941485	1	0.093513691
Mammal	2132	27	8.740369435	12.48438264	-2.230335073	-0.86718431	65	165	29.84006643	6.111111111	4.717948718	0.82425496	0.546904762	1.229572762	NA	787.1081013	-0.325933342	1.876342495	1	0.082437613
Mammal	2163	20	18.34317902	10.01019037	-1.860640288	-1.423793538	77	133	24.0882896	6.65	6.660526316	0.767586075	0.733888889	1.088155491	NA	1263.339379	0.380692914	1.177863447	2	0.085746543
Mammal	2187	31	29.85390978	10.68071686	-1.647647864	-0.430470591	94	198	33.25561259	6.387096774	4.511827957	0.686694663	0.622751323	1.067923334	NA	3269.418146	0.693211005	1.571144261	17	0.119298499
Mammal	2188	27	23.96454508	11.10387968	-2.122910563	-0.251638776	68	158	28.06265574	5.851851852	3.361823362	0.744999997	0.60042735	1.122170167	NA	2214.549791	0.560232838	1.833206179	10	0.100977349
