SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
11272,3,6,4,3,0.26,760,-0.65,0.04901,0.58,0,3
12997.5,3,5,3,3,0.58,148,-0.85692,0.042465,0.2,0,2
13032.7,4,7,4,3,0.73,763.6,-0.0702,0.018415,0.355,0,2
15543.4,1,7,2,4,0.78,79.7,-0.02048,0.013955,0.18,1,2
15711.6,1,7,3,4,0.42,120.8,-0.03872,0.009265,0.35,0,2
15716.3,2,4,3,1,0.62,86.6,-0.01696,0.021065,0.18,0,2
15720,2,3,1,1,0.43,870,-0.042,0.04701,0.41,0,3
15881.5,1,3,1,1,0.33,169.6,-0.0352,0.011415,0.38,0,2
16268,2,6,2,3,0.62,707.9,-1.10432,0.019435,0.435,0,2
16355,0,7,4,4,0.33,880,-0.629,0.03201,0.34,0,3
16356,0,7,4,4,0.33,880,-0.629,0.03201,0.34,0,0
16366.9,3,5,4,4,0.23,163.1,-0.02496,0.009105,0.34,0,2
16479,3,5,3,3,0.65,360,-0.06,0.02701,0.27,1,0
16628.1,1,5,2,3,0.72,711.7,-0.02135,0.021775,0.395,0,2
16816.6,0,5,3,4,0.15,132.7,-0.048,0.017795,0.36,1,2
16828.6,1,7,1,3,0.32,108.4,-0.04352,0.019695,0.41,0,2
16949,0,7,1,1,0.21,130,-0.99,0.02301,0.31,0,3
16950,0,7,1,1,0.21,130,-0.99,0.02301,0.31,0,0
17079,3,5,4,3,0.48,380,-0.285,0.02201,0.27,0,3
17080,3,5,4,3,0.48,380,-0.285,0.02201,0.27,0,0
17497.3,1,7,4,2,0.59,108.3,-0.02464,0.022045,0.41,0,2
17946,0,3,3,3,0.05,30,-0.844,0.04901,0.62,0,3
18007.2,1,7,2,4,0.08,106.2,-0.04544,0.016995,0.42,1,2
18033.3,4,6,3,4,0.87,189.8,-0.03968,0.023185,0.25,1,2
18047.5,1,2,3,4,0.93,494.3,-0.88209,0.016435,0.225,0,2
18119,0,7,2,4,0.24,210,-0.946,0.03601,0.5,0,3
18154.3,4,5,2,2,0.02,185.3,-0.01664,0.020905,0.2,0,2
18159.1,2,3,4,3,0.93,202.9,-0.0352,0.011005,0.35,0,2
18188,3,5,1,3,0.36,760,-0.413,0.04801,0.31,0,3
18189,3,5,1,3,0.36,760,-0.413,0.04801,0.31,0,0
18218.7,1,5,4,2,0.13,91,-0.04608,0.010435,0.27,1,2
18308.5,0,3,1,4,0.16,102.1,-0.01696,0.026375,0.23,0,2
18513,5,7,2,3,0.64,270,-0.677,0.04801,0.43,0,3
18823,0,3,4,4,0.49,960,-0.46,0.04401,0.36,0,3
18973,4,6,4,4,0.06,240,-0.833,0.04601,0.55,0,3
20866,2,5,3,4,0.51,150,-0.772,0.04401,0.4,0,3
21463,4,3,4,3,0.61,860,-0.99,0.04101,0.64,0,3
21994,4,7,1,3,0.24,410,-0.611,0.04201,0.45,1,0
22126,0,5,4,3,0.83,150,-0.251,0.03001,0.63,1,3
23099,5,6,3,4,0.2,90,-0.813,0.02201,0.39,0,3
23216,0,2,1,1,0.55,80,-0.592,0.02501,0.44,0,3
23383,2,4,1,3,1,650,-0.151,0.03901,0.48,0,3
23558,2,4,1,3,0.06,630,-0.453,0.00901,0.34,1,3
23795,1,6,2,4,0.37,960,-0.712,0.04901,0.79,0,3
24285,2,7,3,4,0.8,640,-0.13,0.03501,0.43,1,3
24286,2,7,3,4,0.8,640,-0.13,0.03501,0.43,1,0
24895,2,4,1,4,0.38,210,-0.154,0.03001,0.6,1,3
25394,2,5,2,3,0.37,580,-0.016,0.02801,0.53,0,3
26233,6,7,1,3,0.07,90,-0.807,0.00301,0.26,0,3
26749,4,6,2,2,0.45,610,-0.928,0.02601,0.35,0,3
29356,0,7,3,4,0.97,850,-0.035,0.01601,0.41,0,3
29968,0,7,1,2,0.13,940,-0.56,0.03001,0.37,0,3
30451,2,5,4,2,0.81,140,-0.032,0.01801,0.32,0,3
31218,6,7,4,1,0.23,730,-0.349,0.04001,0.41,1,0
