SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
5020,1,5,3,2,0.85,80,-0.219,0.03601,0.56,0,3
6409,1,5,2,4,0.18,350,-0.817,0.02501,0.47,0,3
6733,3,5,1,4,0.41,870,-0.628,0.03501,0.51,0,3
6734,3,5,1,4,0.41,870,-0.628,0.03501,0.51,0,0
10863,1,1,1,4,0.16,580,-0.945,0.03501,0.41,0,0
11272,3,6,4,3,0.26,760,-0.65,0.04901,0.68,0,3
12880.8,2,4,3,4,0.7,66,-0.31968,0.032585,0.64,0,2
15304.8,4,6,4,4,0.09,175.4,-0.03136,0.010655,0.21,0,2
15411.8,6,7,4,3,0.83,85.2,-0.0448,0.025385,0.43,0,2
15720,2,3,1,1,0.43,870,-0.042,0.04701,0.51,0,3
15853.8,2,5,3,4,0.68,184.2,-0.048,0.020095,0.41,0,2
16256.5,0,7,3,3,0.65,106.5,-0.04128,0.017115,0.34,0,2
16344.8,0,2,2,3,0.93,173.1,-0.03872,0.023225,0.55,0,2
16355,0,7,4,4,0.33,880,-0.629,0.03201,0.44,0,3
16356,0,7,4,4,0.33,880,-0.629,0.03201,0.44,0,0
16479,3,5,3,3,0.65,360,-0.06,0.02701,0.37,1,0
16739.1,5,6,4,4,0.75,158.4,-0.02336,0.009435,0.48,0,2
16830.5,3,7,1,2,0.11,156.6,-0.04544,0.013845,0.35,0,2
16949,0,7,1,1,0.21,130,-0.99,0.02301,0.41,0,3
16999.4,1,7,3,3,0.89,111.9,-0.04064,0.020775,0.36,0,2
17079,3,5,4,3,0.48,380,-0.285,0.02201,0.37,0,3
17279.8,4,6,1,2,0.31,197.3,-0.0384,0.020545,0.51,0,2
17896.6,2,6,4,4,0.89,146.1,-0.02336,0.011355,0.27,0,2
18119,0,7,2,4,0.24,210,-0.946,0.03601,0.6,0,3
18188,3,5,1,3,0.36,760,-0.413,0.04801,0.41,0,3
18189,3,5,1,3,0.36,760,-0.413,0.04801,0.41,0,0
18212.9,6,7,2,2,0.37,198.8,-0.03136,0.020535,0.26,0,2
18513,5,7,2,3,0.64,270,-0.677,0.04801,0.53,0,3
18823,0,3,4,4,0.49,960,-0.46,0.04401,0.46,0,3
18973,4,6,4,4,0.06,240,-0.833,0.04601,0.65,0,3
20866,2,5,3,4,0.51,150,-0.772,0.04401,0.5,0,3
21993,4,7,1,3,0.24,410,-0.611,0.04201,0.55,1,3
21994,4,7,1,3,0.24,410,-0.611,0.04201,0.55,1,0
23099,5,6,3,4,0.2,90,-0.813,0.02201,0.49,0,3
23216,0,2,1,1,0.55,80,-0.592,0.02501,0.54,0,3
23383,2,4,1,3,1,650,-0.151,0.03901,0.58,0,3
23558,2,4,1,3,0.06,630,-0.453,0.00901,0.44,1,3
24285,2,7,3,4,0.8,640,-0.13,0.03501,0.53,1,3
24895,2,4,1,4,0.38,210,-0.154,0.03001,0.7,1,3
25116,0,5,4,1,0.5,190,-0.245,0.03601,0.64,1,3
25394,2,5,2,3,0.37,580,-0.016,0.02801,0.63,0,3
25446,6,5,3,1,0.67,660,-0.525,0.04001,0.7,0,3
26233,6,7,1,3,0.07,90,-0.807,0.00301,0.36,0,3
26467,7,7,3,2,0.86,390,-0.925,0.03001,0.51,1,3
26468,7,7,3,2,0.86,390,-0.925,0.03001,0.51,1,0
26749,4,6,2,2,0.45,610,-0.928,0.02601,0.45,0,3
29356,0,7,3,4,0.97,850,-0.035,0.01601,0.51,0,3
29968,0,7,1,2,0.13,940,-0.56,0.03001,0.47,0,3
30224,5,5,4,2,0.03,270,-0.536,0.02001,0.51,1,3
30292,2,2,2,3,0.36,430,-0.709,0.03501,0.77,0,3
30430,0,1,4,3,0.13,350,-0.891,0.02501,0.45,1,0
30451,2,5,4,2,0.81,140,-0.032,0.01801,0.42,0,3
30452,2,5,4,2,0.81,140,-0.032,0.01801,0.42,0,0
31218,6,7,4,1,0.23,730,-0.349,0.04001,0.51,1,0
