SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
1507.15,2,4,3,4,0.04,24.975,-0.18081,0.0213481,0.14,0,2
1700.35,1,2,2,4,0.25,40.15,-0.181888,0.04954,0.165,0,2
2079,1,7,1,4,0.45,650,-0.801,0.03301,0.52,1,3
2736,5,5,1,4,0.61,10,-0.396,0.03401,0.35,1,3
2737,5,5,1,4,0.61,10,-0.396,0.03401,0.35,1,0
2842.6,0,6,4,1,0.4,30.2,-0.7056,0.05,0.39,0,2
3263,3,4,1,2,0.13,360,-0.861,0.03801,0.4,1,3
3264,3,4,1,2,0.13,360,-0.861,0.03801,0.4,1,0
3691.8,1,7,3,3,0.13,32.6,-0.5684,0.05,0.26,1,2
3809,3,3,4,3,0.4,60,-0.765,0.04101,0.54,0,3
4326,5,6,3,1,0.8,960,-0.307,0.03301,0.44,0,3
4378.95,6,7,4,4,0.63,28.3,-0.20503,0.0055825,0.4625,1,2
5691,0,6,1,2,0.95,690,-0.963,0.00701,0.42,1,3
5708.6,4,7,3,4,0.21,32.2,-0.3577,0.05,0.15,0,2
5921.8,3,6,1,4,0.89,46.7,-0.2205,0.0154325,0.12,1,2
5977.95,2,3,2,2,0.2,49.5,-0.833,0.0236025,0.29,0,2
6099.55,0,3,2,3,0.89,133.6,-0.06225,0.0139925,0.73,0,2
6179,0,4,2,2,0.59,900,-0.231,0.04901,0.42,0,3
6196,1,5,4,1,0.72,830,-0.862,0.04901,0.37,1,3
6197,1,5,4,1,0.72,830,-0.862,0.04901,0.37,1,0
6208.35,0,3,3,4,0.12,582.4,-0.49536,0.0292925,0.42,1,2
6212,3,2,3,4,0.69,900,-0.627,0.04001,0.47,1,3
6213,3,2,3,4,0.69,900,-0.627,0.04001,0.47,1,0
6524.05,1,3,3,4,0.42,77.8,-0.08025,0.0138825,0.96,1,2
6665.55,2,5,1,3,0.41,362.2,-0.74358,0.05,0.25,0,2
6825.05,2,7,4,3,0.55,110.9,-0.11325,0.0457825,0.56,0,2
6907.8,5,7,3,3,0.1,90.8,-0.15375,0.0072425,0.3975,0,2
6922.05,1,2,4,3,0.1,131.8,-0.7575,0.05,0.61,1,2
6965,0,1,3,3,0.76,930,-0.322,0.02901,0.36,0,0
7098.2,6,7,2,1,0.76,139.7,-0.1599,0.0195625,0.3275,1,2
7167.3,2,3,3,2,0.13,119.4,-1.06395,0.0402325,0.4975,1,2
7195.65,6,6,1,4,0.36,88.8,-0.25207,0.0371225,0.455,0,2
7252.5,5,7,3,3,0.92,86.7,-0.4797,0.0308225,0.5275,0,2
7266.35,4,6,3,2,0.22,197.1,-0.5025,0.05,0.52,1,2
7395,6,7,2,2,0.01,96,-0.60885,0.0257525,0.1175,0,2
7479.15,3,2,1,4,0.54,96.2,-0.80565,0.0374725,0.1575,0,2
7757.7,2,6,2,3,0.6,104.1,-0.53505,0.0379325,0.3975,1,2
7792.75,3,4,4,1,0.69,438.1,-0.29808,0.0349025,0.645,0,2
7835,4,5,3,3,0.34,35.9,-0.2706,0.0330225,0.3975,0,2
7926.85,2,6,1,2,0.02,182.7,-0.4305,0.0167525,0.5075,0,2
8016.2,0,6,1,1,0.43,142.4,-0.65805,0.0192325,0.2475,0,2
8095.3,5,7,3,1,0.51,106.8,-0.7011,0.0212325,0.1575,0,1
8126.4,2,5,4,4,0.83,193,-0.95325,0.0315625,0.4675,1,2
8241.05,5,5,4,1,0.88,110.2,-1.0578,0.0313525,0.4275,1,2
8421.95,1,2,2,4,0.37,285.3,-1.0425,0.0180625,0.73,1,2
8683.5,1,4,4,3,0.07,71.4,-0.9102,0.0330025,0.2375,1,2
8835.55,1,7,2,4,0.4,40.7,-0.45248,0.0261225,0.9425,0,2
8990.2,4,4,2,4,0.54,153.2,-0.6396,0.0111025,0.3675,0,2
9068.45,1,7,3,3,0.21,133.2,-0.8733,0.0075025,0.3075,0,2
9238.1,2,4,1,3,0.21,51,-0.4059,0.0206325,0.5175,1,2
9459,4,7,1,3,0.28,90,-0.707,0.01401,0.37,1,3
9520,3,4,4,1,0.03,130,-0.817,0.02401,0.57,0,3
9540.8,6,7,3,4,0.07,177.4,-0.91635,0.0297025,0.4775,0,2
9587.8,1,6,2,2,0.83,131.1,-0.79335,0.0201525,0.5475,0,2
9604.45,4,5,3,3,0.52,21,-0.45955,0.05,0.2525,0,2
9738,2,6,4,4,0.34,900,-0.148,0.02801,0.56,0,3
9944.6,1,3,3,3,0.18,197.1,-0.22755,0.0246825,0.5075,1,2
9989.75,2,6,3,3,0.37,71,-1.02705,0.0301925,0.1575,0,2
10108.4,5,6,3,1,0.86,109.2,-0.4797,0.0258925,0.4575,1,2
10137.4,4,7,1,1,0.33,128.1,-0.9102,0.0243625,0.5975,0,2
10347,2,2,1,3,0.23,240,-0.959,0.03201,0.39,1,3
10348,2,2,1,3,0.23,240,-0.959,0.03201,0.39,1,0
10940,3,5,4,1,0.42,350,-0.374,0.04301,0.47,0,3
11127,1,1,2,3,0.21,660,-0.743,0.03001,0.61,1,3
11320,0,1,3,2,0.95,40,-0.49,0.03901,0.36,1,0
14189,4,4,4,2,0.33,550,-0.609,0.03401,0.37,0,3
14195,1,7,4,4,0.05,590,-0.284,0.01001,0.44,0,3
