SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
9520,3,4,4,1,0.03,130,-0.817,0.02401,0.47,0,3
9556,2,5,3,4,0.97,320,-0.493,0.04901,0.61,0,3
9720.65,1,7,1,3,0.39,100.35,-0.239481,0.0276025,0.2175,0,2
9738,2,6,4,4,0.34,900,-0.148,0.02801,0.46,0,3
10018,0,3,2,1,0.93,440,-0.664,0.04701,0.49,0,3
10701,4,7,3,4,0.75,983.9,-0.05508,0.05,0.43,0,2
10940,3,5,4,1,0.42,350,-0.374,0.04301,0.37,0,3
11183,3,4,1,2,0.63,290,-0.067,0.02201,0.58,0,3
11806.4,0,5,1,2,0.39,83.4,-0.08325,0.045505,0.24,1,2
12445.6,2,6,1,4,0.4,62.3,-0.048,0.029405,0.66,0,2
12957,1,5,1,4,0.89,40.2,-0.15512,0.016405,0.43,1,2
13368.5,0,2,2,4,0.08,61.4,-0.09,0.027905,0.53,0,2
13705.6,5,7,4,1,0.67,109.6,-0.04125,0.018505,0.23,0,2
13773.7,1,7,2,4,0.65,91.8,-0.5289,0.017705,0.325,0,2
13992.7,2,7,2,3,0.79,86.4,-0.6642,0.012205,0.255,0,2
14148.6,2,6,4,1,0.84,62.3,-0.35179,0.036505,0.38,1,2
14189,4,4,4,2,0.33,550,-0.609,0.03401,0.27,0,3
14190,4,4,4,2,0.33,550,-0.609,0.03401,0.27,0,0
14194,1,7,1,2,0.57,270,-0.438,0.03201,0.52,1,3
14195,1,7,4,4,0.05,590,-0.284,0.01001,0.34,0,3
14211,2,3,3,4,0.46,630,-0.307,0.01101,0.37,1,3
14220.2,4,5,1,4,0.07,156.7,-0.738,0.033605,0.335,1,2
15007.7,0,3,1,4,0.89,155,-0.74415,0.016405,0.295,1,2
15013.4,0,7,4,3,0.02,119.6,-0.8487,0.014605,0.295,0,2
15166.8,0,3,2,3,0.33,153.2,-0.36285,0.018905,0.305,0,2
15217.9,0,7,3,1,0.97,96.4,-0.43665,0.020405,0.285,0,2
15437.5,4,5,4,4,0.87,47.9,-0.33794,0.012705,0.21,0,2
15583,6,7,4,3,0.52,350,-0.589,0.02001,0.27,1,0
15956.2,0,7,1,3,0.13,313.4,-0.116,0.014505,0.18,1,2
16494,0,7,2,3,0.48,790,-0.497,0.01501,0.47,1,3
16772,0,5,3,4,0.17,380,-0.516,0.03401,0.42,1,3
16773,0,5,3,4,0.17,380,-0.516,0.03401,0.42,1,0
16789,0,7,1,4,0.86,220,-0.784,0.04001,0.52,1,3
16950.5,2,6,1,3,0.56,95.5,-0.4059,0.025005,0.175,0,2
17140,0,7,2,3,0.37,850,-0.054,0.03801,0.5,1,3
17239.3,2,6,2,4,0.65,120.7,-0.69375,0.023605,0.4,1,2
17866,1,6,1,4,0.75,186.3,-0.7125,0.027205,0.39,1,2
18053.4,3,7,3,3,0.63,136.7,-0.5,0.019805,0.62,0,2
18247,1,3,4,4,0.89,770,-0.918,0.04201,0.26,1,0
18481.8,0,6,3,4,0.51,324.2,-0.1276,0.012705,0.23,0,2
18489.4,1,6,3,2,0.73,486.4,-0.79315,0.031305,0.675,1,2
20028,3,2,1,4,0.61,340,-0.94,0.00701,0.29,0,3
20136,4,7,4,1,0.41,440,-0.167,0.00601,0.31,0,3
20479,0,4,4,3,0.03,660,-0.073,0.04301,0.38,1,0
20502,2,5,1,1,0.73,630,-0.992,0.03701,0.33,1,0
20756,3,4,2,4,0.93,950,-0.616,0.04301,0.29,0,3
20757,3,4,2,4,0.93,950,-0.616,0.04301,0.29,0,0
20993,1,2,2,3,0.33,170,-0.75,0.04101,0.38,1,3
20994,1,2,2,3,0.33,170,-0.75,0.04101,0.38,1,0
21639,4,3,4,4,0.66,80,-0.772,0.01801,0.43,0,3
21850,5,6,3,4,0.01,800,-0.599,0.01901,0.46,0,3
22012,2,1,3,3,0.29,920,-0.694,0.03301,0.29,0,0
22213,1,4,4,3,0.87,90,-0.075,0.03501,0.46,1,3
22795,5,5,2,4,0.04,600,-0.234,0.02201,0.31,0,3
22796,5,5,2,4,0.04,600,-0.234,0.02201,0.31,0,0
23464,3,5,1,1,0.94,420,-0.241,0.03701,0.46,1,3
24976,5,5,3,3,0.7,280,-0.241,0.04901,0.57,0,3
25531,5,6,2,3,0.24,70,-0.277,0.02501,0.32,0,3
26910,1,2,2,3,0.04,750,-0.09,0.00701,0.49,0,3
27360,3,2,4,2,0.21,470,-0.516,0.00501,0.25,1,3
27454,1,3,3,3,1,120,-0.615,0.02301,0.25,0,3
28058,0,2,4,1,0.15,290,-0.216,0.03701,0.32,0,3
28059,0,2,4,1,0.15,290,-0.216,0.03701,0.32,0,0
29300,4,5,1,3,0.14,30,-0.192,0.03101,0.5,0,3
29399,6,7,2,3,0.23,950,-0.157,0.02201,0.36,1,3
29671,2,6,3,2,0.6,170,-0.793,0.04301,0.55,1,3
30441,2,2,1,4,0.07,490,-0.547,0.02201,0.57,1,3
30506,1,3,2,1,0.27,510,-0.377,0.02401,0.27,0,3
30507,1,3,2,1,0.27,510,-0.377,0.02401,0.27,0,0
30563,5,5,3,3,0.47,790,-0.06,0.03701,0.46,0,3
31513,5,6,3,3,0.87,130,-0.625,0.02601,0.5,1,3
