SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
6964,0,1,3,3,0.76,930,-0.322,0.02901,0.36,0,3
8622.98,1,5,3,3,0.52,28.225,-0.389746,0.0391906,0.31,0,2
9520,3,4,4,1,0.03,130,-0.817,0.02401,0.57,0,3
9556,2,5,3,4,0.97,320,-0.493,0.04901,0.71,0,3
9738,2,6,4,4,0.34,900,-0.148,0.02801,0.56,0,3
10018,0,3,2,1,0.93,440,-0.664,0.04701,0.59,0,3
10940,3,5,4,1,0.42,350,-0.374,0.04301,0.47,0,3
10941,3,5,4,1,0.42,350,-0.374,0.04301,0.47,0,0
11320,0,1,3,2,0.95,40,-0.49,0.03901,0.36,1,0
14044.4,7,7,1,4,0.38,301,-0.61256,0.0220175,0.3875,0,2
14189,4,4,4,2,0.33,550,-0.609,0.03401,0.37,0,3
14190,4,4,4,2,0.33,550,-0.609,0.03401,0.37,0,0
14194,1,7,1,2,0.57,270,-0.438,0.03201,0.62,1,3
14195,1,7,4,4,0.05,590,-0.284,0.01001,0.44,0,3
15582,6,7,4,3,0.52,350,-0.589,0.02001,0.37,1,3
15583,6,7,4,3,0.52,350,-0.589,0.02001,0.37,1,0
16772,0,5,3,4,0.17,380,-0.516,0.03401,0.52,1,3
16773,0,5,3,4,0.17,380,-0.516,0.03401,0.52,1,0
16789,0,7,1,4,0.86,220,-0.784,0.04001,0.62,1,3
17140,0,7,2,3,0.37,850,-0.054,0.03801,0.6,1,3
17298.1,3,4,3,2,0.74,48.5,-0.278219,0.0236356,0.57375,0,2
17440.3,1,7,2,4,0.14,116.85,-0.570228,0.0256556,0.354375,0,2
17607.2,2,3,4,2,0.91,89.225,-0.781358,0.0248306,0.241875,0,2
18246,1,3,4,4,0.89,770,-0.918,0.04201,0.36,1,3
18247,1,3,4,4,0.89,770,-0.918,0.04201,0.36,1,0
18415.2,4,6,2,3,0.23,107,-0.06075,0.0382975,0.52,0,2
18982,7,7,4,4,0.3,71.725,-0.503685,0.0184906,0.331875,0,2
19841.7,1,7,3,3,0.24,75.625,-0.607005,0.0271106,0.331875,0,2
19983.7,2,5,3,4,0.33,110.7,-0.620658,0.0215381,0.306875,0,2
19987.1,5,7,1,3,0.4,109,-0.465494,0.0213081,0.326875,0,2
20028,3,2,1,4,0.61,340,-0.94,0.00701,0.39,0,3
20212.4,5,7,4,4,0.57,154.55,-0.574902,0.0274156,0.364375,0,2
20479,0,4,4,3,0.03,660,-0.073,0.04301,0.48,1,0
20502,2,5,1,1,0.73,630,-0.992,0.03701,0.43,1,0
20756,3,4,2,4,0.93,950,-0.616,0.04301,0.39,0,3
20757,3,4,2,4,0.93,950,-0.616,0.04301,0.39,0,0
20833.1,1,7,1,2,0.16,122.9,-0.7011,0.0232675,0.3425,0,2
20993,1,2,2,3,0.33,170,-0.75,0.04101,0.48,1,3
20994,1,2,2,3,0.33,170,-0.75,0.04101,0.48,1,0
21180.5,4,5,3,3,0.67,56,-0.22437,0.0262475,0.485,1,2
21571.5,3,3,3,3,0.6,136,-0.6396,0.0181975,0.3525,0,2
21639,4,3,4,4,0.66,80,-0.772,0.01801,0.53,0,3
21820.8,4,4,4,3,0.82,95.5,-0.4674,0.0208075,0.2725,1,2
21850,5,6,3,4,0.01,800,-0.599,0.01901,0.56,0,3
22012,2,1,3,3,0.29,920,-0.694,0.03301,0.39,0,0
22049.6,2,6,2,4,0.19,97.8,-0.58425,0.0278775,0.4225,1,2
22213,1,4,4,3,0.87,90,-0.075,0.03501,0.56,1,3
22337.7,2,2,2,4,0.66,115.6,-0.53505,0.0258775,0.3825,0,2
22648.4,1,6,4,4,0.54,107.2,-0.5289,0.0198075,0.3825,0,2
22723.6,1,7,2,4,0.8,149,-0.4674,0.0271675,0.3525,1,2
22795,5,5,2,4,0.04,600,-0.234,0.02201,0.41,0,3
22843.7,0,3,3,2,0.8,92.9,-0.738,0.0220175,0.3225,0,2
22946.2,0,3,3,1,0.75,139.9,-0.52275,0.0183775,0.3825,1,2
23076.3,0,5,4,3,0.93,90.7,-0.64575,0.0226675,0.3225,1,2
23361.5,4,4,3,3,0.03,108,-0.7503,0.0260275,0.3925,0,2
23464,3,5,1,1,0.94,420,-0.241,0.03701,0.56,1,3
23575.6,1,2,1,4,0.36,125.7,-0.492,0.0213875,0.4225,1,2
23683,0,2,3,3,0.77,860,-0.949,0.02701,0.77,1,3
23864.4,2,7,4,2,0.56,119.6,-0.64375,0.0306075,0.66,0,2
24418.3,1,2,3,2,0.72,322.8,-0.49322,0.0167675,0.6825,1,2
24665.8,4,5,1,4,0.01,841.5,-0.0474,0.0449275,0.47,0,2
24976,5,5,3,3,0.7,280,-0.241,0.04901,0.67,0,3
25198,5,6,4,3,0.26,24.6,-0.16896,0.0259575,0.57,1,2
25531,5,6,2,3,0.24,70,-0.277,0.02501,0.42,0,3
25532,5,6,2,3,0.24,70,-0.277,0.02501,0.42,0,0
25619,6,7,3,3,0.31,30,-0.707,0.02901,0.65,0,3
25755,2,5,4,4,0.81,690,-0.515,0.04901,0.73,1,3
25756,2,5,4,4,0.81,690,-0.515,0.04901,0.73,1,0
26210.7,3,3,4,3,0.29,115.9,-0.5875,0.0272675,0.54,0,2
27454,1,3,3,3,1,120,-0.615,0.02301,0.35,0,3
27455,1,3,3,3,1,120,-0.615,0.02301,0.35,0,0
28058,0,2,4,1,0.15,290,-0.216,0.03701,0.42,0,3
28059,0,2,4,1,0.15,290,-0.216,0.03701,0.42,0,0
29300,4,5,1,3,0.14,30,-0.192,0.03101,0.6,0,3
29399,6,7,2,3,0.23,950,-0.157,0.02201,0.46,1,3
29671,2,6,3,2,0.6,170,-0.793,0.04301,0.65,1,3
30129,3,5,1,2,0.64,300,-0.542,0.02001,0.63,0,3
30441,2,2,1,4,0.07,490,-0.547,0.02201,0.67,1,3
30506,1,3,2,1,0.27,510,-0.377,0.02401,0.37,0,3
30563,5,5,3,3,0.47,790,-0.06,0.03701,0.56,0,3
31513,5,6,3,3,0.87,130,-0.625,0.02601,0.6,1,3
