SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
5749,2,3,2,3,0.72,220,-0.937,0.02401,0.52,0,3
5824,0,3,4,3,0.17,440,-0.199,0.04201,0.55,0,3
5825,0,3,4,3,0.17,440,-0.199,0.04201,0.55,0,0
6873,0,4,2,4,0.13,150,-0.194,0.04301,0.42,0,3
6874,0,4,2,4,0.13,150,-0.194,0.04301,0.42,0,0
8039,3,7,3,3,0.27,140,-0.075,0.03501,0.46,0,3
10618,1,6,4,1,0.49,680,-0.763,0.01001,0.3,0,3
10840,2,7,2,4,0.31,910,-0.283,0.04001,0.64,0,3
11862,0,4,3,4,0.63,240,-0.355,0.03401,0.33,1,0
12555,1,7,4,4,0.78,140,-0.505,0.01701,0.4,0,3
12556,1,7,4,4,0.78,140,-0.505,0.01701,0.4,0,0
12997.2,1,3,4,4,0.79,721,-0.00594,0.018255,0.27,0,2
13825.3,1,3,2,4,0.9,898.9,-0.01551,0.027745,0.5,0,2
14450,0,2,3,1,0.12,80,-0.111,0.03601,0.36,0,3
14636,3,6,1,1,0.59,490,-0.149,0.04001,0.59,0,3
15523,2,6,2,2,0.95,30,-0.523,0.03601,0.4,0,3
15524,2,6,2,2,0.95,30,-0.523,0.03601,0.4,0,0
15620,4,5,4,4,0.8,810,-0.814,0.04301,0.26,1,0
16449.6,0,2,1,1,0.25,648,-0.16884,0.020865,0.37,0,2
17549.7,4,6,3,2,0.83,772,-0.29212,0.015005,0.56,0,2
17605,3,6,1,1,0.92,180,-0.683,0.03601,0.46,0,3
17606,3,6,1,1,0.92,180,-0.683,0.03601,0.46,0,0
18118,3,3,2,3,0.67,870,-0.657,0.03701,0.43,0,3
18119,3,3,2,3,0.67,870,-0.657,0.03701,0.43,0,0
18261,1,3,3,3,0.33,200,-0.244,0.04301,0.61,0,3
18864,3,3,2,1,0.33,670,-0.299,0.02901,0.47,0,3
19159,6,6,1,2,0.01,420,-0.021,0.02401,0.42,0,3
19754,0,7,4,4,0.68,260,-0.776,0.00501,0.34,0,3
19846,0,4,2,3,0.31,960,-0.119,0.02701,0.49,0,3
19869,3,5,1,1,0.65,750,-0.59,0.03601,0.65,0,3
19945,3,6,1,3,0.53,950,-0.234,0.01501,0.38,0,3
20137,2,4,3,4,0.83,470,-0.198,0.00801,0.28,1,3
20138,2,4,3,4,0.83,470,-0.198,0.00801,0.28,1,0
20143,0,7,4,3,0.74,880,-0.746,0.04601,0.38,0,3
20144,0,7,4,3,0.74,880,-0.746,0.04601,0.38,0,0
21605,0,2,1,4,0.11,40,-0.993,0.04401,0.53,0,3
21627,2,4,2,1,0.83,250,-0.106,0.04401,0.65,0,3
21687,2,3,4,4,0.2,620,-0.186,0.01501,0.46,1,3
23318,2,7,3,3,0.82,490,-0.903,0.04101,0.25,1,0
23929,3,4,2,2,0.83,940,-0.249,0.04401,0.59,1,3
24175,4,7,4,2,0.37,110,-0.464,0.02101,0.53,0,3
24210,2,5,1,2,0.74,760,-0.717,0.03301,0.58,0,3
24405,4,5,1,3,0.77,990,-0.865,0.04801,0.79,0,3
24649,1,6,3,4,0.61,650,-0.011,0.03401,0.44,0,3
24650,1,6,3,4,0.61,650,-0.011,0.03401,0.44,0,0
25206,2,3,3,2,0.3,410,-0.783,0.01001,0.43,1,3
25353,6,6,1,1,0.94,460,-0.239,0.04101,0.44,0,3
25354,6,6,1,1,0.94,460,-0.239,0.04101,0.44,0,0
25994,3,7,4,4,0.46,160,-0.621,0.02801,0.54,1,3
26057,5,6,4,2,0.66,830,-0.544,0.01701,0.26,0,3
26058,5,6,4,2,0.66,830,-0.544,0.01701,0.26,0,0
27194,0,7,3,2,0.09,360,-0.821,0.03001,0.39,0,3
27435,1,6,2,3,0.76,330,-0.479,0.02201,0.41,0,3
27436,1,6,2,3,0.76,330,-0.479,0.02201,0.41,0,0
27449,5,5,1,2,0.28,870,-0.786,0.03101,0.6,0,3
28509,0,1,3,4,0.9,150,-0.273,0.04801,0.51,1,0
29334,4,4,4,2,0.76,300,-0.14,0.03701,0.27,0,3
29335,4,4,4,2,0.76,300,-0.14,0.03701,0.27,0,0
29363,0,5,2,2,0.74,360,-0.493,0.02901,0.53,0,3
30012,6,7,4,4,0.66,530,-0.268,0.01501,0.4,1,3
30577,2,7,4,3,0.13,240,-0.277,0.04801,0.6,0,3
31464,3,4,1,1,0.34,870,-0.664,0.00501,0.32,1,3
31465,3,4,1,1,0.34,870,-0.664,0.00501,0.32,1,0
31511,6,7,4,2,0.17,210,-0.738,0.04901,0.29,1,0
