SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
13191,0,7,4,1,0.85,110,-0.735,0.02101,0.34,0,3
13244,0,5,3,3,0.87,208.7,-0.51408,0.023695,0.515,0,2
14908,0,2,4,4,0.7,491.7,-0.9751,0.023215,0.455,0,2
15273.4,1,7,1,3,0.85,152.3,-0.84456,0.004495,0.315,0,2
15886,3,5,1,4,0.89,100,-0.212,0.04101,0.7,1,3
16076,4,6,4,4,0.46,460,-0.941,0.03801,0.38,0,3
16077,4,6,4,4,0.46,460,-0.941,0.03801,0.38,0,0
16330.4,0,2,3,3,0.33,137.4,-0.7816,0.022505,0.23,0,2
16541.4,0,3,1,4,0.92,128.4,-0.53735,0.028265,0.29,1,2
16966.8,1,2,1,3,0.22,90.4,-0.98677,0.023345,0.28,0,2
17518.7,2,4,2,4,1,115.9,-1.15668,0.006455,0.415,0,2
17952.5,2,3,1,4,0.16,147.2,-0.86953,0.022405,0.18,1,2
18508,2,5,4,3,0.86,560,-0.05,0.03601,0.76,0,3
18982,0,6,1,4,0.61,770,-0.819,0.03401,0.56,1,3
18983,0,6,1,4,0.61,770,-0.819,0.03401,0.56,1,0
19119,1,7,3,3,0.62,140,-0.751,0.04001,0.62,0,3
19663,1,3,1,4,0.68,30,-0.723,0.02401,0.35,0,3
20066,0,7,3,4,0.12,290,-0.091,0.03001,0.4,1,3
20067,0,7,3,4,0.12,290,-0.091,0.03001,0.4,1,0
20092,3,4,3,2,0.14,810,-0.685,0.03401,0.27,0,3
20093,3,4,3,2,0.14,810,-0.685,0.03401,0.27,0,0
20397,0,5,2,2,0.55,200,-0.33,0.01501,0.54,1,3
20426,2,7,2,4,0.58,170,-0.714,0.03001,0.67,1,3
20793,2,4,2,1,0.69,720,-0.366,0.03301,0.66,0,3
21093,0,6,3,3,0.52,270,-0.155,0.02601,0.63,0,3
21473,3,7,1,4,0.77,600,-0.498,0.04101,0.59,0,3
22543,0,5,2,4,0.65,150,-0.485,0.04001,0.27,1,0
23256,3,5,1,3,0.79,300,-0.354,0.04301,0.59,0,3
24681,0,2,2,4,0.73,150,-0.842,0.04401,0.38,1,3
24682,0,2,2,4,0.73,150,-0.842,0.04401,0.38,1,0
25326,1,6,3,2,0.86,310,-0.44,0.03901,0.6,0,3
25497,0,5,2,4,0.75,300,-0.781,0.04801,0.48,1,3
25498,0,5,2,4,0.75,300,-0.781,0.04801,0.48,1,0
25754,0,6,3,2,0.82,600,-0.995,0.02601,0.55,1,3
26174,1,7,4,4,0.5,540,-0.796,0.04401,0.56,0,3
26332,1,4,1,4,0.57,980,-0.179,0.04601,0.46,1,3
26333,1,4,1,4,0.57,980,-0.179,0.04601,0.46,1,0
26412,7,7,2,1,0.94,640,-0.387,0.02801,0.88,0,3
27219,1,2,4,3,0.23,520,-0.09,0.02901,0.51,0,3
28638,3,3,3,1,0.43,640,-0.352,0.02401,0.29,0,3
28639,3,3,3,1,0.43,640,-0.352,0.02401,0.29,0,0
28823,1,7,4,1,0.57,400,-0.69,0.01901,0.43,1,3
28897,2,2,2,4,0.55,730,-0.475,0.04401,0.73,0,3
28980,1,5,2,1,0.81,800,-0.021,0.01601,0.48,0,3
29124,4,4,1,4,0.1,290,-0.016,0.04001,0.6,0,3
29437,1,3,2,4,0.63,190,-0.918,0.00701,0.35,1,3
29438,1,3,2,4,0.63,190,-0.918,0.00701,0.35,1,0
29809,2,4,4,2,0.1,890,-0.591,0.03901,0.36,1,0
29935,2,4,1,4,0.45,840,-0.322,0.02201,0.73,1,3
29958,0,5,1,1,0.41,990,-0.318,0.02401,0.61,1,3
29990,5,5,2,2,0.08,90,-0.732,0.03201,0.61,0,3
30472,0,1,4,2,0.57,840,-0.504,0.04901,0.4,1,0
30492,0,3,2,3,0.92,650,-0.579,0.04401,0.61,1,3
30680,0,2,2,2,0.36,640,-0.58,0.04501,0.56,1,3
30681,0,2,2,2,0.36,640,-0.58,0.04501,0.56,1,0
31072,0,2,2,3,0.68,930,-0.353,0.03401,0.27,0,3
31073,0,2,2,3,0.68,930,-0.353,0.03401,0.27,0,0
31487,1,2,1,4,0.84,160,-0.977,0.02401,0.32,1,3
31488,1,2,1,4,0.84,160,-0.977,0.02401,0.32,1,0
31774,2,6,3,2,0.75,750,-0.585,0.02701,0.4,0,3
31775,2,6,3,2,0.75,750,-0.585,0.02701,0.4,0,0
