SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
5302,2,4,3,3,0.83,240,-0.65,0.01301,0.51,0,3
5875,0,2,1,4,0.28,230,-0.107,0.04401,0.36,1,0
6637,1,7,1,4,0.39,720,-0.689,0.02401,0.41,1,3
6638,1,7,1,4,0.39,720,-0.689,0.02401,0.41,1,0
8343,4,6,4,2,0.4,270,-0.112,0.04601,0.76,0,3
9264,1,3,2,1,0.2,760,-0.33,0.01701,0.36,0,3
10751,2,5,4,2,0.54,536.6,-0.52704,0.05,0.82,1,2
12249,4,6,3,1,0.23,890,-0.605,0.02701,0.46,0,3
13164.2,1,6,3,3,0.26,393,-0.42218,0.017085,0.405,0,1
13453,2,7,4,4,0.34,170,-0.006,0.02201,0.55,1,3
13477.9,0,7,1,4,0.46,699.3,-0.3553,0.008765,0.295,0,2
13499,1,7,3,3,0.68,450,-0.515,0.03201,0.68,0,3
13699,5,5,1,2,0.91,570,-0.486,0.04201,0.62,0,3
13909.2,0,7,1,2,0.87,255,-0.216,0.049505,0.315,1,2
13981.3,4,7,3,4,0.23,379,-0.2214,0.030855,0.365,1,2
14231,4,7,4,1,0.43,370,-0.148,0.02501,0.56,0,3
14892.8,3,6,3,4,0.89,332.2,-0.50024,0.015595,0.275,1,2
14984,3,6,2,2,0.77,160,-0.602,0.04001,0.65,1,3
15210,6,7,3,4,0.14,50,-0.507,0.02701,0.55,1,3
15225.8,0,4,1,3,0.7,400.8,-0.3159,0.042915,0.535,1,2
15345,2,2,2,4,0.6,950,-0.489,0.03601,0.68,0,3
15421.2,2,5,1,4,0.02,185.7,-0.3996,0.05,0.195,0,2
15439,1,3,2,3,0.1,750,-0.379,0.02401,0.44,0,3
15466.2,2,5,2,1,0.46,304.7,-0.55315,0.026225,0.545,0,2
15587,1,7,4,3,0.61,157,-0.40404,0.015445,0.195,0,2
15859,3,5,2,2,0.75,170,-0.971,0.02001,0.47,1,3
16131,3,5,2,4,0.81,90,-0.4,0.04001,0.76,1,3
16369,5,7,4,2,0.37,540,-0.962,0.02001,0.64,0,3
16620.6,1,2,4,4,0.55,317.5,-0.5772,0.023005,0.365,1,2
16726.2,3,4,4,2,0.79,411.1,-0.4023,0.037235,0.305,0,2
17078.3,0,3,3,3,0.85,319.8,-0.3051,0.047095,0.325,0,2
17326,3,7,1,2,0.89,380,-0.432,0.04901,0.64,1,3
17326,1,3,4,3,0.06,720,-0.694,0.04701,0.72,0,3
17573.9,1,6,2,1,0.97,241.4,-0.3364,0.006205,0.395,0,2
17854.4,2,4,2,3,0.7,146.5,-0.2378,0.006395,0.335,0,2
18179,0,6,4,2,0.19,400,-0.938,0.03201,0.39,0,3
18209.8,2,5,1,2,0.84,355.5,-0.3016,0.003895,0.455,0,2
18275,1,6,1,2,0.12,650,-0.642,0.03401,0.39,1,3
18276,1,6,1,2,0.12,650,-0.642,0.03401,0.39,1,0
18560,3,6,3,4,0.98,730,-0.825,0.02701,0.47,1,3
18561,3,6,3,4,0.98,730,-0.825,0.02701,0.47,1,0
19500,3,6,3,2,0.55,710,-0.644,0.04601,0.55,0,3
19553,3,4,3,4,0.77,900,-0.862,0.03301,0.44,0,3
19554,3,4,3,4,0.77,900,-0.862,0.03301,0.44,0,0
19611,7,7,4,4,0.2,220,-0.402,0.02601,0.5,0,3
19928,5,5,4,2,0.81,390,-0.118,0.02801,0.67,0,3
20110,4,7,1,2,0.07,530,-0.391,0.04801,0.47,0,3
20158,1,5,1,1,0.8,610,-0.958,0.03701,0.44,0,3
20351,2,4,4,4,0.65,810,-0.552,0.03701,0.47,1,0
21105,4,6,3,1,1,750,-0.179,0.01501,0.42,0,3
22489,2,3,3,3,0.4,780,-0.512,0.04901,0.73,1,3
23287,4,7,4,1,0.63,490,-0.778,0.04001,0.39,1,0
23373,6,6,2,3,0.72,260,-0.918,0.01501,0.56,0,3
23887,2,7,3,1,0.14,210,-0.65,0.01401,0.37,1,3
23915,5,7,2,3,0.15,640,-0.156,0.04801,0.7,1,3
24072,3,7,3,4,0.8,730,-0.101,0.02701,0.54,0,3
24137,1,4,4,1,0.12,260,-0.04,0.03201,0.67,1,3
24730,6,5,4,3,0.31,960,-0.7,0.04501,0.46,0,3
25015,1,5,3,3,0.88,690,-0.418,0.01301,0.37,0,3
25023,0,4,4,1,0.67,660,-0.321,0.01601,0.55,0,3
25348,5,4,4,4,0.54,990,-0.854,0.00601,0.43,0,3
25595,4,4,3,1,0.32,920,-0.501,0.04601,0.39,1,0
25751,6,7,1,1,0.1,510,-0.71,0.03001,0.35,0,3
25752,6,7,1,1,0.1,510,-0.71,0.03001,0.35,0,0
26423,1,1,1,3,0.1,650,-0.097,0.04001,0.4,0,0
27233,6,7,2,4,0.65,400,-0.922,0.01901,0.47,1,3
27604,2,4,4,3,0.86,330,-0.27,0.04001,0.39,0,3
27605,2,4,4,3,0.86,330,-0.27,0.04001,0.39,0,0
29422,2,7,3,3,0.55,310,-0.481,0.02001,0.39,0,3
29423,2,7,3,3,0.55,310,-0.481,0.02001,0.39,0,0
29646,7,6,4,1,0.95,770,-0.889,0.03401,0.46,0,3
30048,2,7,1,1,0.17,350,-0.343,0.02901,0.47,0,3
30049,2,7,1,1,0.17,350,-0.343,0.02901,0.47,0,0
30499,5,6,4,2,0.43,50,-0.361,0.04101,0.72,1,3
31689,1,7,3,3,0.72,260,-0.29,0.00701,0.37,1,3
31694,3,7,4,4,0.04,510,-0.176,0.03601,0.68,0,3
