SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
6179,0,4,2,2,0.59,900,-0.231,0.04901,0.42,0,3
9738,2,6,4,4,0.34,900,-0.148,0.02801,0.56,0,3
9776,1,4,1,1,0.3,860,-0.386,0.03201,0.63,0,3
9851.55,2,3,2,3,0.25,33.3,-0.4508,0.0339475,0.35,0,2
10018,0,3,2,1,0.93,440,-0.664,0.04701,0.59,0,3
10940,3,5,4,1,0.42,350,-0.374,0.04301,0.47,0,3
12598,1,4,3,2,0.21,540,-0.602,0.01601,0.61,0,3
14189,4,4,4,2,0.33,550,-0.609,0.03401,0.37,0,3
15010.6,4,7,4,1,0.95,127.638,-0.658535,0.0226511,0.277031,0,2
16414.5,4,5,1,4,0.67,110.631,-0.342524,0.0259255,0.203906,0,2
16702.5,7,6,3,4,0.69,84.4,-0.06975,0.0337475,0.51,0,2
17354.6,0,7,4,4,0.88,124.05,-0.582774,0.0295481,0.329375,0,2
17665.4,6,7,4,4,0.84,72.2,-0.05625,0.0433875,0.59,0,2
17707.1,2,7,4,4,0.16,118.275,-0.73062,0.0286156,0.319375,0,2
17886.5,5,6,4,3,0.05,106.05,-0.694089,0.0194306,0.324375,0,2
17992.4,2,4,1,2,0.25,107.9,-0.07575,0.0334275,0.5,0,2
18019.7,3,5,1,2,0.06,114.675,-0.490708,0.0290906,0.391875,0,2
18062.6,0,7,4,2,0.78,129.325,-0.45756,0.0164706,0.364375,0,2
18087.7,3,5,3,4,0.15,110.65,-0.65313,0.0176006,0.239375,0,2
18246,1,3,4,4,0.89,770,-0.918,0.04201,0.36,1,3
18247,1,3,4,4,0.89,770,-0.918,0.04201,0.36,1,0
18357.3,1,5,1,2,0.48,137.925,-0.38376,0.0214806,0.354375,1,2
18512.4,4,7,1,3,0.1,81.5,-0.09075,0.0436275,0.63,0,2
18563.6,3,3,2,4,0.55,124.925,-0.38868,0.0199006,0.294375,0,2
18565.3,1,4,4,4,0.67,122.625,-0.453378,0.0235656,0.321875,0,2
18593.8,5,6,2,4,0.47,120.825,-0.60639,0.0301606,0.301875,0,2
18902.3,4,4,4,2,0.23,93.7,-0.06375,0.0270675,0.48,0,2
18966.8,0,1,1,4,0.55,155.175,-0.37392,0.0302981,0.249375,0,2
19025.3,0,6,4,3,0.89,95.375,-0.364387,0.0272206,0.271875,1,2
19264,4,5,3,3,0.93,104.75,-0.412973,0.0176606,0.221875,0,2
19556.7,1,7,4,1,0.55,105.325,-0.387942,0.0254456,0.301875,1,2
19697.8,4,6,2,3,0.72,76.1,-0.24376,0.0191875,0.445,0,2
20081.5,4,4,4,3,0.26,92.975,-0.383822,0.0319806,0.431875,0,2
20407.1,0,6,3,1,0.34,106.575,-0.845625,0.0278556,0.219375,0,2
20595.3,0,6,1,2,0.43,93.95,-0.535972,0.0203831,0.229375,1,2
20756,3,4,2,4,0.93,950,-0.616,0.04301,0.39,0,3
