SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
17900.4,0,6,4,4,0.91,38.2,-0.22535,0.0225906,0.475,0,2
17962.1,0,4,2,1,0.96,34.8,-0.158304,0.0263006,0.455,0,2
18208,1,3,4,3,0.95,94.4,-0.0735,0.0287675,0.6,0,2
18246,1,3,4,4,0.89,770,-0.918,0.04201,0.36,1,3
18247,1,3,4,4,0.89,770,-0.918,0.04201,0.36,1,0
18516.9,5,6,1,1,0.42,40.9,-0.167616,0.0285506,0.425,0,2
18995.8,3,5,4,2,0.26,43.1,-0.162029,0.0272606,0.385,0,2
19070.9,1,4,4,3,0.8,41.2,-0.176928,0.0255706,0.595,0,2
19087.9,3,6,2,3,0.44,27.4,-0.143405,0.0340706,0.475,0,2
19220,0,6,3,3,0.26,37.4,-0.13968,0.0315906,0.455,0,2
19231.5,3,6,1,4,0.16,118.175,-0.444276,0.0201481,0.344375,0,2
19306.5,0,7,2,1,1,117.275,-0.432407,0.0205881,0.399375,0,2
19323.7,3,5,1,3,0.61,95.5,-0.0765,0.0346175,0.68,0,2
19340.9,3,5,1,3,0.14,33.6,-0.169478,0.0307706,0.435,0,2
19590.4,2,7,1,4,0.22,30.4,-0.188102,0.0279106,0.375,0,2
19782.9,0,6,1,2,0.16,92.8,-0.576501,0.0259531,0.439375,0,2
20181.2,3,5,1,4,0.92,102.1,-0.563094,0.0287331,0.419375,0,2
20479,0,4,4,3,0.03,660,-0.073,0.04301,0.48,1,0
20756,3,4,2,4,0.93,950,-0.616,0.04301,0.39,0,3
20757,3,4,2,4,0.93,950,-0.616,0.04301,0.39,0,0
20993,1,2,2,3,0.33,170,-0.75,0.04101,0.48,1,3
20994,1,2,2,3,0.33,170,-0.75,0.04101,0.48,1,0
21048.1,4,6,2,3,0.34,116.6,-0.58425,0.0229175,0.3525,0,2
21153.9,2,3,4,4,0.08,149.5,-0.47355,0.0239675,0.3225,0,2
21219.7,1,5,2,2,1,127.9,-0.5166,0.0190275,0.2825,1,2
21275.5,3,4,4,2,0.59,159.15,-0.93,0.0227181,0.515,0,2
21318.8,5,7,3,3,0.96,96.4,-0.58425,0.0205375,0.3925,0,2
21671.2,0,7,4,4,0.43,121.75,-0.961,0.0253081,0.495,0,2
21850,5,6,3,4,0.01,800,-0.599,0.01901,0.56,0,3
22110.9,1,3,1,3,0.04,108.4,-0.73185,0.0248075,0.2925,0,2
22208.9,2,4,4,3,0.98,34.8,-0.18624,0.0277875,0.5,0,2
22213,1,4,4,3,0.87,90,-0.075,0.03501,0.56,1,3
22281.9,3,7,3,4,0.35,105.7,-0.5166,0.0213175,0.3925,0,2
22329.4,3,3,1,4,0.5,102.5,-0.49815,0.0185075,0.3125,0,2
22562.5,1,4,2,3,0.78,661.5,-0.6077,0.05,0.7175,1,2
22622.1,1,3,3,3,0.88,90.3,-0.6642,0.0277675,0.3525,1,2
22795,5,5,2,4,0.04,600,-0.234,0.02201,0.41,0,3
22801.8,1,2,4,3,0.94,121.2,-0.67035,0.0275375,0.4125,0,2
22823.2,1,6,3,1,0.99,108,-0.6396,0.0210475,0.2925,0,2
22855.2,4,6,4,4,0.66,120.1,-0.64575,0.0201775,0.3325,0,2
22994.5,0,6,3,3,0.49,133.3,-0.7503,0.0220775,0.3325,1,2
23383.1,0,5,3,4,0.86,139.1,-0.76875,0.0230475,0.4125,0,2
23464,3,5,1,1,0.94,420,-0.241,0.03701,0.56,1,3
23520,2,4,4,3,0.95,96.1,-0.5412,0.0211875,0.3925,1,2
23526.4,1,4,3,3,0.7,146.1,-0.76875,0.0225575,0.3725,0,2
23581.1,4,6,2,4,0.44,137.6,-0.47355,0.0284775,0.3125,1,2
23785.2,0,7,4,3,0.3,105.9,-0.6027,0.0199275,0.3325,1,2
23831.8,0,7,2,1,0.56,116.5,-0.54735,0.0211975,0.4125,1,2
23911.4,4,5,1,4,0.38,392.4,-0.84375,0.0349175,0.69,1,2
24660.4,4,4,4,4,0.28,32.6,-0.20352,0.0254875,0.49,0,2
24943.7,0,3,3,3,0.23,196.7,-0.85644,0.0458275,0.5175,0,2
24976,5,5,3,3,0.7,280,-0.241,0.04901,0.67,0,3
25000.3,0,4,1,2,0.19,210.5,-0.83265,0.05,0.5575,1,2
25107.5,2,7,3,2,0.48,30.6,-0.144,0.0353075,0.49,1,2
25363.5,1,4,2,2,0.7,147.8,-0.775,0.0208375,0.58,0,2
25477.2,0,3,1,2,0.56,160.9,-0.84851,0.0331375,0.6375,0,1
25531,5,6,2,3,0.24,70,-0.277,0.02501,0.42,0,3
25755,2,5,4,4,0.81,690,-0.515,0.04901,0.73,1,3
27454,1,3,3,3,1,120,-0.615,0.02301,0.35,0,3
28058,0,2,4,1,0.15,290,-0.216,0.03701,0.42,0,3
29300,4,5,1,3,0.14,30,-0.192,0.03101,0.6,0,3
29399,6,7,2,3,0.23,950,-0.157,0.02201,0.46,1,3
29431,2,4,3,2,0.62,320,-0.675,0.04201,0.76,1,3
29671,2,6,3,2,0.6,170,-0.793,0.04301,0.65,1,3
30129,3,5,1,2,0.64,300,-0.542,0.02001,0.63,0,3
31513,5,6,3,3,0.87,130,-0.625,0.02601,0.6,1,3
