SpID,ElevationOptimum,ElevationTolerance,IslandSideOptimum,IslandSideTolerance,MaxHabitatSuitability,AdultMass,AlleeThreshold,DispAlpha,DispTailThinness,Annual,SpeciesType
15553,0,3,1,4,0.32,199,-0.03712,0.025915,0.27,0,2
15720,2,3,1,1,0.43,870,-0.042,0.04701,0.41,0,3
15721,2,3,1,1,0.43,870,-0.042,0.04701,0.41,0,0
16218.5,1,3,3,3,0.67,163.9,-0.04576,0.014585,0.28,0,2
16355,0,7,4,4,0.33,880,-0.629,0.03201,0.34,0,3
16356,0,7,4,4,0.33,880,-0.629,0.03201,0.34,0,0
16473.1,1,4,3,4,0.94,113.3,-0.02752,0.011955,0.29,0,2
16479,3,5,3,3,0.65,360,-0.06,0.02701,0.27,1,0
16539,4,5,1,4,0.06,120,-0.03296,0.023495,0.2,1,2
16864.7,2,5,2,2,0.51,182.2,-0.0224,0.020695,0.28,0,2
16922,2,5,1,3,0.19,690,-0.127,0.00701,0.46,1,3
16949,0,7,1,1,0.21,130,-0.99,0.02301,0.31,0,3
17079,3,5,4,3,0.48,380,-0.285,0.02201,0.27,0,3
17080,3,5,4,3,0.48,380,-0.285,0.02201,0.27,0,0
17148.6,2,6,2,4,0.16,149.3,-0.04704,0.014235,0.2,0,2
17709.6,3,3,4,4,0.64,72.5,-0.048,0.019385,0.16,0,2
17826,4,5,4,3,0.8,184.5,-0.02048,0.018425,0.24,1,2
17853.2,3,4,1,2,0.52,184.1,-0.02496,0.011825,0.44,0,2
17946,0,3,3,3,0.05,30,-0.844,0.04901,0.62,0,3
17960.9,2,7,3,4,0.21,83.6,-0.04672,0.012455,0.38,1,2
18064.3,3,5,4,2,0.18,77.3,-0.02784,0.023165,0.35,1,2
18119,0,7,2,4,0.24,210,-0.946,0.03601,0.5,0,3
18188,3,5,1,3,0.36,760,-0.413,0.04801,0.31,0,3
18189,3,5,1,3,0.36,760,-0.413,0.04801,0.31,0,0
18312.5,2,3,4,4,0.48,186.2,-0.03616,0.025135,0.21,1,2
18320,3,4,3,4,0.87,280,-0.402,0.03801,0.86,0,3
18513,5,7,2,3,0.64,270,-0.677,0.04801,0.43,0,3
18514,5,7,2,3,0.64,270,-0.677,0.04801,0.43,0,0
18823,0,3,4,4,0.49,960,-0.46,0.04401,0.36,0,3
18824,0,3,4,4,0.49,960,-0.46,0.04401,0.36,0,0
18973,4,6,4,4,0.06,240,-0.833,0.04601,0.55,0,3
19372,3,3,3,1,0.45,180,-0.852,0.03901,0.3,1,0
20866,2,5,3,4,0.51,150,-0.772,0.04401,0.4,0,3
20867,2,5,3,4,0.51,150,-0.772,0.04401,0.4,0,0
21463,4,3,4,3,0.61,860,-0.99,0.04101,0.64,0,3
21994,4,7,1,3,0.24,410,-0.611,0.04201,0.45,1,0
22126,0,5,4,3,0.83,150,-0.251,0.03001,0.63,1,3
23099,5,6,3,4,0.2,90,-0.813,0.02201,0.39,0,3
23216,0,2,1,1,0.55,80,-0.592,0.02501,0.44,0,3
23383,2,4,1,3,1,650,-0.151,0.03901,0.48,0,3
23558,2,4,1,3,0.06,630,-0.453,0.00901,0.34,1,3
23559,2,4,1,3,0.06,630,-0.453,0.00901,0.34,1,0
24286,2,7,3,4,0.8,640,-0.13,0.03501,0.43,1,0
24895,2,4,1,4,0.38,210,-0.154,0.03001,0.6,1,3
25116,0,5,4,1,0.5,190,-0.245,0.03601,0.54,1,3
25394,2,5,2,3,0.37,580,-0.016,0.02801,0.53,0,3
25448,3,7,3,1,0.41,150,-0.906,0.00701,0.41,0,3
26233,6,7,1,3,0.07,90,-0.807,0.00301,0.26,0,3
26749,4,6,2,2,0.45,610,-0.928,0.02601,0.35,0,3
26750,4,6,2,2,0.45,610,-0.928,0.02601,0.35,0,0
29356,0,7,3,4,0.97,850,-0.035,0.01601,0.41,0,3
29968,0,7,1,2,0.13,940,-0.56,0.03001,0.37,0,3
30225,5,5,4,2,0.03,270,-0.536,0.02001,0.41,1,0
30430,0,1,4,3,0.13,350,-0.891,0.02501,0.35,1,0
30451,2,5,4,2,0.81,140,-0.032,0.01801,0.32,0,3
