"","dispersal","density","environment","speciationRate","fission","protracted","replicate","id"
"146",1,0,0,2,1,2,2,146
"147",0,1,0,2,1,2,2,147
"148",1,1,0,2,1,2,2,148
"149",0,0,1,2,1,2,2,149
"150",1,0,1,2,1,2,2,150
"151",0,1,1,2,1,2,2,151
"152",1,1,1,2,1,2,2,152
"153",0,0,0,5,1,2,2,153
"154",1,0,0,5,1,2,2,154
"155",0,1,0,5,1,2,2,155
"156",1,1,0,5,1,2,2,156
"157",0,0,1,5,1,2,2,157
"158",1,0,1,5,1,2,2,158
"159",0,1,1,5,1,2,2,159
"160",1,1,1,5,1,2,2,160
"161",0,0,0,2,2,2,2,161
"162",1,0,0,2,2,2,2,162
"163",0,1,0,2,2,2,2,163
"164",1,1,0,2,2,2,2,164
"165",0,0,1,2,2,2,2,165
"166",1,0,1,2,2,2,2,166
"167",0,1,1,2,2,2,2,167
"168",1,1,1,2,2,2,2,168
"169",0,0,0,5,2,2,2,169
"170",1,0,0,5,2,2,2,170
"171",0,1,0,5,2,2,2,171
"172",1,1,0,5,2,2,2,172
"173",0,0,1,5,2,2,2,173
"174",1,0,1,5,2,2,2,174
"175",0,1,1,5,2,2,2,175
"176",1,1,1,5,2,2,2,176
"177",0,0,0,2,3,2,2,177
"178",1,0,0,2,3,2,2,178
"179",0,1,0,2,3,2,2,179
"180",1,1,0,2,3,2,2,180
"181",0,0,1,2,3,2,2,181
"182",1,0,1,2,3,2,2,182
"183",0,1,1,2,3,2,2,183
"184",1,1,1,2,3,2,2,184
"185",0,0,0,5,3,2,2,185
"186",1,0,0,5,3,2,2,186
"187",0,1,0,5,3,2,2,187
"188",1,1,0,5,3,2,2,188
"189",0,0,1,5,3,2,2,189
"190",1,0,1,5,3,2,2,190
"191",0,1,1,5,3,2,2,191
"192",1,1,1,5,3,2,2,192
"193",0,0,0,2,1,0,3,193
"194",1,0,0,2,1,0,3,194
"195",0,1,0,2,1,0,3,195
"196",1,1,0,2,1,0,3,196
"197",0,0,1,2,1,0,3,197
"198",1,0,1,2,1,0,3,198
"199",0,1,1,2,1,0,3,199
"200",1,1,1,2,1,0,3,200
"201",0,0,0,5,1,0,3,201
"202",1,0,0,5,1,0,3,202
"203",0,1,0,5,1,0,3,203
"204",1,1,0,5,1,0,3,204
"205",0,0,1,5,1,0,3,205
"206",1,0,1,5,1,0,3,206
"207",0,1,1,5,1,0,3,207
"208",1,1,1,5,1,0,3,208
"209",0,0,0,2,2,0,3,209
"210",1,0,0,2,2,0,3,210
"211",0,1,0,2,2,0,3,211
"212",1,1,0,2,2,0,3,212
"213",0,0,1,2,2,0,3,213
"214",1,0,1,2,2,0,3,214
"215",0,1,1,2,2,0,3,215
"216",1,1,1,2,2,0,3,216
"217",0,0,0,5,2,0,3,217
"218",1,0,0,5,2,0,3,218
"219",0,1,0,5,2,0,3,219
"220",1,1,0,5,2,0,3,220
"221",0,0,1,5,2,0,3,221
"222",1,0,1,5,2,0,3,222
"223",0,1,1,5,2,0,3,223
"224",1,1,1,5,2,0,3,224
"225",0,0,0,2,3,0,3,225
"226",1,0,0,2,3,0,3,226
"227",0,1,0,2,3,0,3,227
"228",1,1,0,2,3,0,3,228
"229",0,0,1,2,3,0,3,229
"230",1,0,1,2,3,0,3,230
"231",0,1,1,2,3,0,3,231
"232",1,1,1,2,3,0,3,232
"233",0,0,0,5,3,0,3,233
"234",1,0,0,5,3,0,3,234
"235",0,1,0,5,3,0,3,235
"236",1,1,0,5,3,0,3,236
"237",0,0,1,5,3,0,3,237
"238",1,0,1,5,3,0,3,238
"239",0,1,1,5,3,0,3,239
"240",1,1,1,5,3,0,3,240
"241",0,0,0,2,1,2,3,241
"242",1,0,0,2,1,2,3,242
"243",0,1,0,2,1,2,3,243
"244",1,1,0,2,1,2,3,244
"245",0,0,1,2,1,2,3,245
"246",1,0,1,2,1,2,3,246
"247",0,1,1,2,1,2,3,247
"248",1,1,1,2,1,2,3,248
"249",0,0,0,5,1,2,3,249
"250",1,0,0,5,1,2,3,250
"251",0,1,0,5,1,2,3,251
"252",1,1,0,5,1,2,3,252
"253",0,0,1,5,1,2,3,253
"254",1,0,1,5,1,2,3,254
"255",0,1,1,5,1,2,3,255
"256",1,1,1,5,1,2,3,256
"257",0,0,0,2,2,2,3,257
"258",1,0,0,2,2,2,3,258
"259",0,1,0,2,2,2,3,259
"260",1,1,0,2,2,2,3,260
"261",0,0,1,2,2,2,3,261
"262",1,0,1,2,2,2,3,262
"263",0,1,1,2,2,2,3,263
"264",1,1,1,2,2,2,3,264
"265",0,0,0,5,2,2,3,265
"266",1,0,0,5,2,2,3,266
"267",0,1,0,5,2,2,3,267
