"model","model2","experiment","parameter","metric","r","r.L95","r.U95","color","symbol"
"hs","hs.D","env","w","PSV",-0.161639775052339,-0.246804626894808,-0.0739972068759513,"#40E0D0FF",15
"hs","hs.D","env","w","mean.Iprime",0.0491433793637842,-0.039302071548632,0.136824769228082,"#40E0D0FF",15
"hs","hs.D","env","w","MPD",-0.155260684420277,-0.240608144056249,-0.0675307563072497,"#40E0D0FF",15
"hs","hs.D","env","w","VPD",0.0571135146686929,-0.0312481156362193,0.144589336969481,"#40E0D0FF",15
"hs","hs.D","env","w","nLTT_stat",-0.108631832231153,-0.195149016323014,-0.0204370501278075,"#40E0D0FF",15
"hs","hs.D","env","w","PC1",0.11649820589716,0.0282704932187887,0.202924824858121,"#40E0D0FF",15
"hs","hs.D","env","w","PC2",-0.118526653233603,-0.204906217494831,-0.030315082260261,"#40E0D0FF",15
"hs","hs.D","env","w","PC3",0.0176417084925679,-0.0706971413665957,0.105705985661376,"#40E0D0FF",15
"hs","hs.D","env","w","PC4",-0.159931446084964,-0.245230805402478,-0.0721748771095561,"#40E0D0FF",15
"hs","hs.D","env","w","PC5",-0.0468522260985163,-0.134565839168035,0.041589905850469,"#40E0D0FF",15
"hs","hs.D","env","w","PC6",0.133470650199592,0.0453955834693454,0.21948672420145,"#40E0D0FF",15
"hs","hs.N","env","w","S",-0.118597476581189,-0.204631097862082,-0.0307455072121347,"#40E0D0FF",18
"hs","hs.N","env","w","log10S",-0.118597476581189,-0.204631097862082,-0.0307455072121347,"#40E0D0FF",18
"hs","hs.N","env","w","tree.length",0.214101156655701,0.127667473051615,0.297307341256947,"#40E0D0FF",18
"hs","hs.N","env","w","PD",-0.107349799353865,-0.193636226159137,-0.0194153365491332,"#40E0D0FF",18
"hs","hs.N","env","w","Gamma",-0.0331518045666859,-0.120690808501741,0.0548988208669387,"#40E0D0FF",18
"hs","hs.N","env","w","Beta",-0.201731090602334,-0.285373226844313,-0.11503930881205,"#40E0D0FF",18
"hs","hs.N","env","w","Colless",0.0116504637405941,-0.0762972599928956,0.0994183036242237,"#40E0D0FF",18
"hs","hs.N","env","w","Sackin",-0.0221562661675541,-0.109819820740982,0.0658493222997887,"#40E0D0FF",18
"hs","hs.N","env","w","Yule.PDA.ratio",0.020041877651208,-0.0679532287464005,0.10772757702077,"#40E0D0FF",18
"hs","hs.N","env","w","MRD",0.0140274731422069,-0.0739346095755023,0.101772977388636,"#40E0D0FF",18
"hs","hs.N","env","w","VRD",0.0680385764863221,-0.0200491777913869,0.155078158475222,"#40E0D0FF",18
"hs","hs.N","env","w","PSV",-0.100970455613902,-0.187392867187325,-0.0129968960727837,"#40E0D0FF",18
"hs","hs.N","env","w","mean.Iprime",0.210278019136817,0.123762133238917,0.293621194834521,"#40E0D0FF",18
"hs","hs.N","env","w","MPD",-0.0708953908848266,-0.157887049119523,0.0171882333547771,"#40E0D0FF",18
"hs","hs.N","env","w","VPD",0.12482198140779,0.0370231426771111,0.210708525654115,"#40E0D0FF",18
"hs","hs.N","env","w","nLTT_stat",-0.135025134995209,-0.220659500987513,-0.0473249890822222,"#40E0D0FF",18
"hs","hs.N","env","w","PC1",-0.0173063880057028,-0.105019872658032,0.0706742866344281,"#40E0D0FF",18
"hs","hs.N","env","w","PC2",-0.148684608313862,-0.233959719939628,-0.0611393192717914,"#40E0D0FF",18
"hs","hs.N","env","w","PC3",-0.0288984553189189,-0.116487506287211,0.059136634922575,"#40E0D0FF",18
"hs","hs.N","env","w","PC4",-0.0468442156913279,-0.134206107765575,0.0412402152378108,"#40E0D0FF",18
"hs","hs.N","env","w","PC5",0.229893497693309,0.143822668595701,0.312512306779196,"#40E0D0FF",18
"hs","hs.N","env","w","PC6",-0.0665365542362026,-0.153600905918173,0.0215529339488212,"#40E0D0FF",18
"pontarp","pontarp","env","abiotic_env_gradient","S",0.0643090543816515,0.00768909201873111,0.120517983618506,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","log10S",0.0643090543816515,0.00768909201873111,0.120517983618506,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","tree.length",-0.31719963397656,-0.368415054493869,-0.264064667657588,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","PD",0.33590138587354,0.283275034107272,0.38651090307545,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","Gamma",-0.344814197435165,-0.395122568090784,-0.292443700195958,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","Beta",-0.0697777654784597,-0.125938183784687,-0.0131715252559368,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","Colless",0.0659090356923202,0.0092928216083429,0.122104034484459,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","Sackin",0.0610740438329834,0.00444717520301451,0.117310476381527,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","Yule.PDA.ratio",0.0665811453140454,0.00996657147872271,0.122770227572428,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","MRD",0.0657521423433958,0.00913555096589604,0.121948516743523,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","VRD",0.071332478937363,0.0147306101345066,0.127478642897136,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","PSV",0.0382858857343126,-0.0183642258337864,0.0946909642152923,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","mean.Iprime",0.0430886308374006,-0.0135602738044705,0.0994618182714492,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","MPD",-0.224869096373664,-0.278578660519044,-0.169757395109534,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","VPD",-0.303882309923207,-0.355508008163913,-0.250408089125301,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","nLTT_stat",0.19775242695709,0.142220431822336,0.252043490132163,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","PC1",-0.045567480904936,-0.101923445578334,0.0110800306802997,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","PC2",-0.190313475750745,-0.244752463874527,-0.134678352136355,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","PC3",0.0646779012615844,0.00805878346631064,0.120883638329634,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","PC4",0.262330552390139,0.207916796304898,0.315125682341788,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","PC5",-0.0893226883953256,-0.145288972409314,-0.0327866037633107,"#FF0000FF",16
"pontarp","pontarp","env","abiotic_env_gradient","PC6",0.421277821844744,0.371476018251107,0.468662323631379,"#FF0000FF",16
"ca","ca","env","MaxOptimalElevation","S",-0.0389883158951536,-0.095040258174827,0.0173100666820114,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","log10S",-0.0389883158951536,-0.095040258174827,0.0173100666820114,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","tree.length",-0.0273276529688382,-0.0834489446117159,0.0289664400779947,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","PD",-0.0338761226897269,-0.0899598740139264,0.0224217952434447,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","Gamma",0.024502942504307,-0.0317883821778209,0.0806393160075339,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","Beta",-0.00786768730066691,-0.0640792920959554,0.0483936843581037,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","Colless",-0.0370757636777741,-0.0931398631490244,0.0192227041228304,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","Sackin",-0.0381374267482925,-0.0941948156588223,0.0181610320012694,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","Yule.PDA.ratio",-0.0371551185821596,-0.0932187197397678,0.0191433518425299,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","MRD",-0.0345002545372616,-0.0905802399942824,0.0217978386747458,"#EEEE00FF",16
"ca","ca","env","MaxOptimalElevation","VRD",-0.0265182153436316,-0.0826438972502841,0.0297751532820029,"#EEEE00FF",16
