CellID,SpID,Abundance
404,1977,0
404,3281,0
404,4034,299
404,4035,798
404,5633,30
404,5634,19
404,6034,38
404,7130.45,0
404,7162,0
404,7163,0
404,7230,438
404,7259,0
404,7900,1
404,8178,66
404,8415,246
404,8647,71
404,9221,264
404,9463,4802
404,9464,13984
404,9465.1,77
404,10387,10062
404,10440,0
404,10501,2159
404,11204.8,660
404,12073,327
404,12089,2582
404,12383,0
404,12649,0
404,12653,1364
404,12796,0
404,12797,0
404,13010.2,1461
404,13212,371
404,13229.7,0
404,13503.1,0
404,14200.4,0
404,14391.8,9639
404,14446.2,9474
404,15518.7,2370
404,15564.6,17423
404,15721.7,32539
404,15748,2059
404,15818.9,13967
404,16160,56622
404,16161,77555
404,16199.5,287411
404,16431.1,499490
404,16612.9,0
404,16695,69049
404,16774.9,0
404,17013,0
404,17463.5,1199939
404,17727.1,2704
404,18040.4,7067
404,18066,10201
404,18067,10972
404,18366,0
404,18386,720068
404,18387,1006745
404,18574,49758
404,18575,50986
404,18645.9,143426
404,19072,183467
404,19699,289728
404,21215,14053
404,22024,780487
404,22719,895861
404,22720,982534
404,23003,0
404,23640,0
404,23932,0
404,23984,53732
404,24075,1668610
404,24099,439792
404,24284,361331
404,24436,135650
404,24437,137935
404,25022,0
404,25819,1023150
404,25820,1138890
404,26425,0
404,27471,0
404,27472,0
404,28683,0
404,28696,9931410
404,28697,11112930
404,29059,0
404,29986,48570270
404,30311,5064120
404,30504,0
404,30729,3351702
404,31027,3379540
404,31218,0
404,31291,393649
404,31307,146867
404,31308,146507
404,31891,2858200
404,31892,3155160
504,1977,0
504,3281,0
504,4034,115
504,4035,436
504,5633,11
504,5634,16
504,6034,34
504,7130.45,0
504,7162,0
504,7163,0
504,7230,196
504,7259,0
504,7900,0
504,8178,36
504,8415,0
504,8647,27
504,9221,128
504,9463,8879
504,9464,37111
504,9465.1,1307
504,10387,26041
504,10440,0
504,10501,0
504,11204.8,1125
504,12073,3394
504,12089,7377
504,12383,0
504,12649,0
504,12653,29537
504,12796,0
504,12797,0
504,13010.2,23327
504,13212,0
504,13229.7,0
504,13503.1,0
504,14200.4,0
504,14391.8,26432
504,14446.2,113384
504,15518.7,0
504,15564.6,0
504,15721.7,76735
504,15748,6590
504,15818.9,29707
504,16160,394628
504,16161,494201
504,16199.5,440957
504,16431.1,827458
504,16612.9,0
504,16695,0
504,16774.9,0
504,17013,0
504,17463.5,2511898
504,17727.1,13788
504,18040.4,15695
504,18066,52627
504,18067,54065
504,18366,0
504,18386,1293513
504,18387,1828475
504,18574,96611
504,18575,98019
504,18645.9,259855
504,19072,295499
504,19699,464766
504,21215,20079
504,22024,1054260
504,22719,1211810
504,22720,1485110
504,23003,0
504,23640,0
504,23932,0
504,23984,74027
504,24075,2306440
504,24099,607018
504,24284,511435
504,24436,188797
504,24437,191925
504,25022,0
504,25819,1428230
504,25820,1597310
504,26425,0
504,27471,0
504,27472,0
504,28683,0
504,28696,13712510
504,28697,15643220
504,29059,0
504,29986,62497070
504,30311,5390360
504,30504,0
504,30729,4034970
504,31027,3566780
504,31218,0
504,31291,0
504,31307,0
504,31308,0
504,31891,0
504,31892,0
604,1977,0
604,3281,0
604,4034,43
604,4035,129
604,5633,6
604,5634,3
604,6034,14
604,7130.45,0
604,7162,0
604,7163,0
604,7230,65
604,7259,0
604,7900,0
604,8178,7
604,8415,0
604,8647,7
604,9221,34
604,9463,5248
604,9464,23071
604,9465.1,828
604,10387,18521
604,10440,0
