CellID,SpID,Abundance
404,4239.63,107712
404,4379.03,710876
404,4702.71,536525
404,4890.23,256778
404,4921.83,75801
404,4956.63,93012
404,4983.65,0
404,5054,2095
404,5093.73,6130
404,5152.26,133827
404,5209.81,36599750
404,5223.4,17657310
404,5229.68,290505
404,5259.83,82463200
404,5261.66,17459040
404,5275,6042630
404,5435.31,10147120
404,5436.35,9858180
404,5479.83,0
404,5485.68,92815100
404,5513.2,518908000
404,5576.13,31867400
404,5578.69,364386700
404,5612.63,458809600
404,5614.73,2931270
404,5665.18,5495
404,5750.45,101629
404,5762.13,21
404,5763.73,5078
404,5771.13,61796
404,5848.16,76
404,5866.53,15078
404,5883.25,235775
404,5969.55,5750
404,6569,843628
404,6866,0
404,7270.7,0
404,7678,0
404,7820.4,0
404,9336.2,3
404,10611,0
404,10612,0
404,10724.2,2425
404,11873,600
404,11874,695
404,12668.6,0
404,13136,17
404,13912,135
404,14295,0
404,14296,0
404,15022.7,0
404,15800.4,3
404,15849,586
404,16035.5,114
404,16068,0
404,16152.3,0
404,16271,2
404,16474,71
404,16474.3,3
404,16794.4,22
404,16908.7,1
404,16938,0
404,17128.5,0
404,17139.6,131
404,17189,51
404,17731.1,1
404,18273,2
404,18457,0
504,4239.63,0
504,4379.03,490769
504,4702.71,423150
504,4890.23,161985
504,4921.83,45157
504,4956.63,57146
504,4983.65,0
504,5054,1665
504,5093.73,1117
504,5152.26,75947
504,5209.81,26233950
504,5223.4,0
504,5229.68,3027950
504,5259.83,47044400
504,5261.66,11090470
504,5275,3286401
504,5435.31,5828880
504,5436.35,5561310
504,5479.83,0
504,5485.68,63195100
504,5513.2,366176400
504,5576.13,27690300
504,5578.69,277962000
504,5612.63,808025700
504,5614.73,175174900
504,5665.18,1130
504,5750.45,21160
504,5762.13,62
504,5763.73,1468
504,5771.13,18326
504,5848.16,250
504,5866.53,2769
504,5883.25,15494
504,5969.55,374
504,6569,47003
504,6866,0
504,7270.7,0
504,7678,0
504,7820.4,0
504,9336.2,4
504,10611,0
504,10612,0
504,10724.2,444
504,11873,68
504,11874,64
504,12668.6,0
504,13136,19
504,13912,0
504,14295,0
504,14296,0
504,15022.7,0
504,15800.4,4
504,15849,74
504,16035.5,26
504,16068,0
504,16152.3,0
504,16271,1
504,16474,9
504,16474.3,4
504,16794.4,5
504,16908.7,0
504,16938,0
504,17128.5,0
504,17139.6,6
504,17189,0
504,17731.1,3
504,18273,0
504,18457,0
604,4239.63,0
604,4379.03,2994720
604,4702.71,1538211
604,4890.23,1234534
604,4921.83,399712
604,4956.63,452390
604,4983.65,0
604,5054,40804
604,5093.73,153394
604,5152.26,598533
604,5209.81,21826740
604,5223.4,0
604,5229.68,2875240
604,5259.83,45109380
604,5261.66,11735570
604,5275,2798440
604,5435.31,5679340
604,5436.35,5015340
604,5479.83,0
604,5485.68,52382900
604,5513.2,351944900
604,5576.13,26073500
604,5578.69,269852800
604,5612.63,793564100
604,5614.73,223694700
604,5665.18,2410
604,5750.45,53575
604,5762.13,220
604,5763.73,4557
604,5771.13,59871
604,5848.16,2943
604,5866.53,12555
604,5883.25,10553
604,5969.55,239
604,6569,38933
604,6866,0
604,7270.7,0
604,7678,0
604,7820.4,0
604,9336.2,11
604,10611,0
604,10612,0
604,10724.2,913
604,11873,115
604,11874,147
604,12668.6,0
604,13136,58
604,13912,0
604,14295,0
604,14296,0
604,15022.7,0
604,15800.4,5
604,15849,185
604,16035.5,39
604,16068,0
604,16152.3,0
604,16271,3
604,16474,17
604,16474.3,6
604,16794.4,15
604,16908.7,1
604,16938,0
604,17128.5,0
604,17139.6,4
604,17189,0
604,17731.1,9
604,18273,0
604,18457,0
704,4239.63,0
704,4379.03,3389759
704,4702.71,1734346
704,4890.23,1431460
704,4921.83,471057
704,4956.63,529411
704,4983.65,0
704,5054,22333
704,5093.73,1460
704,5152.26,708427
704,5209.81,15506580
704,5223.4,0
704,5229.68,8041
704,5259.83,17107450
704,5261.66,5121715
704,5275,856405
704,5435.31,2242524
704,5436.35,1801288
704,5479.83,0
704,5485.68,26393900
704,5513.2,95780500
704,5576.13,9552120
704,5578.69,73224200
704,5612.63,229625300
704,5614.73,109152900
704,5665.18,198861600
704,5750.45,113083200
704,5762.13,4754100
