CellID,SpID,Abundance
404,12898,1302
404,13360,18
404,13721,4027
404,13935,0
404,14113,93
404,14418,17214
404,14462.2,99951
404,15472,7607
404,15742,25724
404,15743,30466
404,15867.6,9340
404,16158,1583329
404,16482.4,169145
404,16600,0
404,17230,3152333
404,17326.6,26408
404,17345,0
404,17970,118296
404,18271.9,30689
404,18653,0
404,18704,261074
404,18705,302221
404,18871,37437
404,20404,374903
404,20588,0
404,21373,342899
404,21548,94190
404,21549,98302
404,22629,0
404,22853,3456956
404,22903,914257
404,22904,1075450
404,23201,1708020
404,23202,2165920
404,23764,5530210
404,23906,0
404,24752,4084510
404,25663,99641
404,26177,0
404,26817,307701
404,27266,0
404,27287,0
404,27834,0
404,28498,698515
404,28665,139579
404,28666,140944
404,28720,176319
404,29071,1229860
404,30013,4767604
404,30014,4949323
404,30310,0
404,30311,0
404,31305,297
504,12898,2569
504,13360,41
504,13721,8898
504,13935,0
504,14113,215
504,14418,0
504,14462.2,142183
504,15472,0
504,15742,45996
504,15743,59636
504,15867.6,20798
504,16158,4444650
504,16482.4,515977
504,16600,0
504,17230,10303800
504,17326.6,78962
504,17345,0
504,17970,386312
504,18271.9,126355
504,18653,0
504,18704,1286590
504,18705,1405480
504,18871,112992
504,20404,0
504,20588,0
504,21373,0
504,21548,241842
504,21549,249119
504,22629,0
504,22853,8091060
504,22903,2250900
504,22904,2621580
504,23201,0
504,23202,0
504,23764,7358900
504,23906,0
504,24752,5607320
504,25663,0
504,26177,0
504,26817,0
504,27266,0
504,27287,0
504,27834,0
504,28498,841698
504,28665,169743
504,28666,170840
504,28720,0
504,29071,1406530
504,30013,5242696
504,30014,5435100
504,30310,0
504,30311,0
504,31305,505464
604,12898,1738
604,13360,17
604,13721,5066
604,13935,0
604,14113,171
604,14418,0
604,14462.2,341545
604,15472,0
604,15742,92796
604,15743,115213
604,15867.6,26705
604,16158,6295730
604,16482.4,728854
604,16600,0
604,17230,14780660
604,17326.6,111265
604,17345,0
604,17970,553970
604,18271.9,180305
604,18653,0
604,18704,1837450
604,18705,1997710
604,18871,159055
604,20404,0
604,20588,0
604,21373,0
604,21548,282737
604,21549,293476
604,22629,0
604,22853,9282550
604,22903,2613740
604,22904,3044530
604,23201,0
604,23202,0
604,23764,8096030
604,23906,0
604,24752,6319170
604,25663,0
604,26177,0
604,26817,0
604,27266,0
604,27287,0
604,27834,0
604,28498,919928
604,28665,183156
604,28666,186620
604,28720,0
604,29071,1529080
604,30013,5795763
604,30014,5975805
604,30310,0
604,30311,0
604,31305,604496
704,12898,467
704,13360,2
704,13721,1420
704,13935,0
704,14113,61
704,14418,0
704,14462.2,532370
704,15472,0
704,15742,47150
704,15743,51258
704,15867.6,9498
704,16158,6715240
704,16482.4,688259
704,16600,0
704,17230,14249540
704,17326.6,97071
704,17345,0
704,17970,543946
704,18271.9,174664
704,18653,0
704,18704,1824040
704,18705,1977250
704,18871,134071
704,20404,0
704,20588,0
704,21373,0
704,21548,284039
704,21549,292395
704,22629,0
704,22853,8692080
704,22903,2552050
704,22904,2961830
704,23201,0
704,23202,0
704,23764,7863440
704,23906,0
704,24752,6003560
704,25663,0
704,26177,0
704,26817,0
704,27266,0
704,27287,0
704,27834,0
704,28498,908928
704,28665,181773
704,28666,185273
704,28720,0
704,29071,1512520
704,30013,5533397
704,30014,5737501
704,30310,0
704,30311,0
704,31305,40876
804,12898,212
804,13360,3
804,13721,703
804,13935,28
804,14113,17
804,14418,0
804,14462.2,15029
804,15472,0
804,15742,4256
804,15743,5744
804,15867.6,1738
804,16158,538332
804,16482.4,50769
804,16600,0
804,17230,873792
804,17326.6,8603
804,17345,0
804,17970,30259
804,18271.9,4415
804,18653,149060
804,18704,30906
804,18705,34808
804,18871,16944
804,20404,179134
804,20588,80537
804,21373,0
804,21548,48348
804,21549,50004
804,22629,0
804,22853,2059525
804,22903,491673
804,22904,588409
804,23201,947363
804,23202,1224410
804,23764,3385285
804,23906,5159220
804,24752,3000913
804,25663,0
804,26177,0
804,26817,225347
804,27266,0
804,27287,0
804,27834,4061750
804,28498,559903
804,28665,112406
804,28666,113399
804,28720,141268
804,29071,1016090
804,30013,3809641
804,30014,4024096
804,30310,22784520
804,30311,25169510
804,31305,398815
405,12898,7850
405,13360,42
405,13721,9705
405,13935,0
405,14113,791
405,14418,75042
405,14462.2,2562425
405,15472,308900
405,15742,734927
405,15743,915022
405,15867.6,204442
405,16158,0
405,16482.4,953111
405,16600,0
405,17230,0
405,17326.6,85453
405,17345,0
405,17970,428442
405,18271.9,0
405,18653,0
405,18704,0
405,18705,0
405,18871,94050
405,20404,762814
405,20588,0
405,21373,609020
405,21548,187591
405,21549,192737
405,22629,0
405,22853,6204710
405,22903,1742630
405,22904,2033180
405,23201,3171860
405,23202,3970560
405,23764,8982350
405,23906,0
405,24752,6721990
405,25663,153195
405,26177,0
405,26817,483404
405,27266,0
405,27287,0
405,27834,0
405,28498,1001720
405,28665,201316
405,28666,203500
405,28720,251803
405,29071,0
405,30013,5791802
405,30014,5962817
405,30310,0
405,30311,0
405,31305,224381
505,12898,3216281
505,13360,72157
505,13721,9476690
505,13935,0
505,14113,963359
505,14418,22413980
505,14462.2,36276040
505,15472,15657700
505,15742,56607020
505,15743,71340480
505,15867.6,7542770
505,16158,208707600
505,16482.4,1891270
505,16600,0
505,17230,25204
505,17326.6,80561
505,17345,0
505,17970,19970
505,18271.9,1866
505,18653,0
505,18704,6440
505,18705,2171
505,18871,352
505,20404,51
505,20588,0
505,21373,787
505,21548,1051
505,21549,1179
505,22629,2
505,22853,24656
505,22903,7408
505,22904,8683
505,23201,3125
505,23202,3815
505,23764,16827
505,23906,0
505,24752,2627
505,25663,43
505,26177,0
505,26817,89
505,27266,775
505,27287,0
505,27834,0
505,28498,350
505,28665,107
505,28666,104
505,28720,7
505,29071,49
505,30013,45424
505,30014,49253
505,30310,0
505,30311,0
505,31305,92
605,12898,2936
605,13360,59
605,13721,10999
605,13935,0
605,14113,288
605,14418,0
605,14462.2,12989
605,15472,0
605,15742,48057
605,15743,66774
605,15867.6,21134
605,16158,127096
605,16482.4,96180
605,16600,0
605,17230,907441
605,17326.6,10802
605,17345,0
605,17970,56293
