"","spp.name","region"
"1",12955,10
"2",14234,10
"3",16029,8
"4",16029,9
"5",16155,10
"6",17645,10
"7",17890,10
"8",18190,9
"9",18526,7
"10",18526,8
"11",18669,9
"12",18669,8
"13",18804,10
"14",19561,10
"15",20250,7
"16",20250,8
"17",20345,10
"18",20363,7
"19",20363,8
"20",20372,7
"21",20461,6
"22",20461,7
"23",20529,8
"24",20529,9
"25",20619,7
"26",20619,8
"27",20842,10
"28",20851,8
"29",20851,7
"30",20854,7
"31",20854,8
"32",20905,9
"33",20948,9
"34",20949,10
"35",21074,7
"36",21115,6
"37",21163,7
"38",21194,10
"39",21231,10
"40",21340,8
"41",21452,8
"42",21452,7
"43",21474,5
"44",21474,6
"45",21606,7
"46",21637,9
"47",21674,6
"48",21674,7
"49",21816,10
"50",21826,10
"51",21842,6
"52",21842,5
"53",21896,9
"54",21935,5
"55",22040,5
"56",22049,8
"57",22049,7
"58",22080,6
"59",22080,5
"60",22090,10
"61",22090,9
"62",22091,4
"63",22092,9
"64",22171,9
"65",22171,8
"66",22222,10
"67",22270,9
"68",22329,10
"69",22336,8
"70",22336,9
"71",22369,8
"72",22389,10
"73",22478,6
"74",22490,5
"75",22490,6
"76",22509,10
"77",22526,10
"78",22533,8
"79",22533,9
"80",22537,10
"81",22542,8
"82",22542,7
"83",22553,9
"84",22608,4
"85",22608,5
"86",22613,8
"87",22613,9
"88",22616,9
"89",22616,10
"90",22628,10
"91",22634,10
"92",22663,8
"93",22663,7
"94",22680,7
"95",22680,6
"96",22685,10
"97",22688,7
"98",22688,8
"99",22703,9
"100",22711,9
"101",22711,8
"102",22714,10
"103",22759,9
"104",22762,2
"105",22762,3
"106",22814,8
"107",22814,9
"108",22846,10
"109",22857,6
"110",22865,5
"111",22865,6
"112",22874,9
"113",22895,6
"114",22895,7
"115",22905,8
"116",22908,9
"117",22934,6
"118",22936,8
"119",22936,9
"120",22952,5
"121",22952,6
"122",22956,4
"123",22969,6
"124",22969,7
"125",22973,4
"126",23056,10
"127",23064,9
"128",23075,4
"129",23075,5
"130",23079,10
"131",23086,9
"132",23086,8
"133",23089,4
"134",23089,3
"135",23126,9
"136",23133,7
"137",23133,6
"138",23148,10
"139",23167,6
"140",23184,8
"141",23184,9
"142",23197,3
"143",23199,10
"144",23203,7
"145",23203,8
"146",23217,8
"147",23217,9
"148",23233,3
"149",23233,4
"150",23237,9
"151",23237,8
"152",23245,10
"153",23277,9
"154",23277,10
"155",23300,10
"156",23308,10
"157",23310,9
"158",23310,10
"159",23317,10
"160",23317,9
"161",23326,5
"162",23326,6
"163",23330,6
"164",23330,7
"165",23344,9
"166",23344,10
"167",23351,8
"168",23351,9
"169",23352,8
"170",23352,9
"171",23359,9
"172",23359,10
"173",23376,10
"174",23376,9
"175",23387,8
"176",23387,7
"177",23406,8
"178",23421,9
"179",23427,9
"180",23438,6
"181",23441,7
"182",23441,6
"183",23442,6
"184",23442,5
"185",23481,9
"186",23481,10
"187",23491,8
"188",23549,9
"189",23552,9
"190",23554,4
"191",23555,10
"192",23564,10
"193",23564,9
"194",23568,6
"195",23568,5
"196",23570,9
"197",23570,8
"198",23576,4
"199",23576,6
"200",23576,5
"201",23580,8
"202",23588,3
"203",23588,4
"204",23599,10
"205",23620,5
"206",23620,6
"207",23622,5
"208",23622,6
"209",23637,5
"210",23640,10
"211",23643,6
"212",23643,7
"213",23674,9
"214",23674,8
"215",23680,9
"216",23680,8
"217",23685,6
"218",23685,5
"219",23704,7
"220",23718,10
"221",23754,8
"222",23754,9
"223",23757,5
"224",23757,6
"225",23761,6
"226",23761,7
"227",23765,9
"228",23767,10
"229",23768,10
"230",23771,8
"231",23771,7
"232",23774,3
"233",23774,2
"234",23809,4
"235",23809,3
"236",23809,2
"237",23815,7
"238",23815,6
"239",23827,6
"240",23831,5
"241",23831,6
"242",23843,9
"243",23843,10
"244",23851,10
"245",23851,9
"246",23857,10
"247",23870,9
"248",23870,8
"249",23871,4
"250",23871,3
"251",23873,10
"252",23875,8
"253",23876,5
"254",23895,6
"255",23904,10
"256",23905,8
"257",23908,7
"258",23908,8
"259",23916,10
"260",23941,10
"261",23948,7
"262",23949,6
"263",23949,7
"264",23951,9
"265",23951,10
"266",23953,8
"267",23955,10
"268",23973,10
"269",23984,10
"270",23985,10
"271",23985,9
"272",23991,8
"273",23991,7
"274",24010,5
"275",24013,9
"276",24025,5
"277",24025,6
"278",24026,5
"279",24026,4
"280",24030,7
"281",24031,10
"282",24032,10
