CellID,SpID,Abundance
404,310,3235
404,6216,6998
404,6375.05,41114
404,6469,0
404,6864,3160
404,7539,11416
404,8998,557272
404,8999,1158946
404,10281.8,2249760
404,10585.7,2221977
404,10657.7,8244210
404,10730.7,3150720
404,11589,1520
404,12860,84228
404,14846.2,135036
404,15160,495495
404,16276.2,0
404,16359,28357750
404,16663.2,0
404,17280,0
404,17671,0
404,19763,705545
404,19888,1806060
404,20101,14925600
404,20789,1105340
404,21036,0
404,21437,0
404,22011,231584
404,23612,929491
404,24276,0
404,26800,1644666
404,27784,2877920
404,27793,0
404,28137,7237500
404,30763,7509670
404,31535,3045990
404,31691,6137883
404,31692,6194575
504,310,60296
504,6216,0
504,6375.05,271716
504,6469,0
504,6864,18473
504,7539,48157
504,8998,808583
504,8999,1673760
504,10281.8,3203780
504,10585.7,3183902
504,10657.7,11868700
504,10730.7,4519300
504,11589,2187
504,12860,0
504,14846.2,175820
504,15160,644593
504,16276.2,0
504,16359,36739730
504,16663.2,0
504,17280,0
504,17671,0
504,19763,864814
504,19888,0
504,20101,0
504,20789,841813
504,21036,0
504,21437,0
504,22011,172333
504,23612,0
504,24276,0
504,26800,1158317
504,27784,2023500
504,27793,0
504,28137,4778010
504,30763,5573260
504,31535,2267960
504,31691,3996249
504,31692,4095867
604,310,92399
604,6216,0
604,6375.05,423288
604,6469,0
604,6864,45523
604,7539,91419
604,8998,840462
604,8999,1714187
604,10281.8,3602890
604,10585.7,3356842
604,10657.7,12276390
604,10730.7,4827470
604,11589,2373
604,12860,0
604,14846.2,177079
604,15160,653703
604,16276.2,0
604,16359,37645480
604,16663.2,0
604,17280,0
604,17671,0
604,19763,880885
604,19888,0
604,20101,0
604,20789,856295
604,21036,0
604,21437,0
604,22011,175645
604,23612,0
604,24276,0
604,26800,1159061
604,27784,2042530
604,27793,0
604,28137,4775440
604,30763,5608140
604,31535,2290750
604,31691,4003866
604,31692,4102235
704,310,86276
704,6216,0
704,6375.05,384469
704,6469,0
704,6864,32810
704,7539,74811
704,8998,819432
704,8999,1677762
704,10281.8,3416650
704,10585.7,3315139
704,10657.7,12169630
704,10730.7,4677590
704,11589,2236
704,12860,0
704,14846.2,176195
704,15160,652218
704,16276.2,0
704,16359,37578720
704,16663.2,0
704,17280,0
704,17671,0
704,19763,876002
704,19888,0
704,20101,0
704,20789,854636
704,21036,0
704,21437,0
704,22011,174642
704,23612,0
704,24276,0
704,26800,1158589
704,27784,2032850
704,27793,0
704,28137,4777510
704,30763,5593840
704,31535,2276650
704,31691,4001429
704,31692,4104290
804,310,42553
804,6216,0
804,6375.05,184400
804,6469,0
804,6864,17894
804,7539,38356
804,8998,630778
804,8999,1305051
804,10281.8,2577590
804,10585.7,2498511
804,10657.7,9355860
804,10730.7,3603090
804,11589,1779
804,12860,0
804,14846.2,145620
804,15160,537990
804,16276.2,147386
804,16359,31191050
804,16663.2,0
804,17280,0
804,17671,0
804,19763,744399
