CellID,SpID,Abundance
404,14307.8,1984
404,14311.5,743
404,14379.1,105
404,14385.5,1066
404,14570.9,4163
404,14591.6,4466
404,14643.7,255
404,14663.1,3128
404,14706.2,12325
404,14966.6,137
404,14990.7,2504
404,15140.8,18810
404,15450.1,3766
404,15473.5,2677
404,15523.8,30559
404,15560.3,10642
404,15576.3,17070
404,15623.2,15210
404,15627.3,19831
404,15654.8,1924
404,15808.3,3603
404,15947.5,22589
404,15974.8,1774
404,16090.7,12251
404,16231.6,16261
404,16292.3,57073
404,16299.6,40181
404,16306.5,147332
404,16363.2,0
404,16396.7,484292
404,16475.7,7867
404,16575.4,13617
404,16583.2,293268
404,16592,1040476
404,16635.8,2140300
404,16642,184412
404,16709.3,0
404,16772,37284
404,16786.2,114800
404,16792.1,401280
404,16857,517670
404,16865.4,98414
404,16885.4,402102
404,16965.9,140071
404,16980.6,0
404,16998.3,1318580
404,17003.1,552419
404,17978,598645
404,18247,501098
404,20478,15949
404,20502,497793
404,20756,655674
404,20757,724078
404,20993,1137120
404,22213,8104270
404,22795,26971
404,23464,1813560
404,24976,1202833
404,25531,2166679
404,27454,207679300
404,28058,0
404,29399,273208
404,29671,11028700
404,30506,0
404,30563,1210897
504,14307.8,38955
504,14311.5,13333
504,14379.1,2269
504,14385.5,20382
504,14570.9,61873
504,14591.6,61236
504,14643.7,0
504,14663.1,46223
504,14706.2,154745
504,14966.6,0
504,14990.7,32425
504,15140.8,228191
504,15450.1,48432
504,15473.5,33418
504,15523.8,0
504,15560.3,95964
504,15576.3,160856
504,15623.2,0
504,15627.3,175787
504,15654.8,16137
504,15808.3,31797
504,15947.5,197618
504,15974.8,16780
504,16090.7,103802
504,16231.6,0
504,16292.3,447045
504,16299.6,310468
504,16306.5,0
504,16363.2,0
504,16396.7,2026946
504,16475.7,32925
504,16575.4,64205
504,16583.2,1446631
504,16592,0
504,16635.8,0
504,16642,223170
504,16709.3,0
504,16772,57511
504,16786.2,157552
504,16792.1,551650
504,16857,718402
504,16865.4,129930
504,16885.4,563172
504,16965.9,199759
504,16980.6,0
