CellID,SpID,Abundance
404,4280,8594
404,6921,101
404,8204,0
404,8290,89
404,8754.3,0
404,9240.7,0
404,10359,47
404,10367,55
404,10378,105
404,10497.1,68
404,10728.5,0
404,13050.6,43
404,13224,126
404,13650,0
404,13656.4,165
404,13704,5
404,13885.8,1
404,14161,0
404,14513,0
404,14709.8,39
404,14955,0
404,15645.7,0
404,15733.4,309
404,15751,689
404,16013.8,0
404,16394.5,0
404,16578.8,51
404,17047.6,191222610
404,17074.4,0
404,17206,6910330
404,17371,27
404,17683.1,5318710
404,18063,19894
404,18218,427242
404,18346,9455
404,18556,0
404,18854,0
404,18855,0
404,18978.2,8304
404,19132.3,0
404,19284,313220910
404,20175,0
404,22791,9160740
404,26286,0
404,26298,291
404,27604,296
404,27760,16848
404,28277,429
404,29035,718
404,30156,2264
404,30157,739
404,31767,1082
404,31773,960
504,4280,1898669
504,6921,148738
504,8204,0
504,8290,175746
504,8754.3,0
504,9240.7,0
504,10359,1259910
504,10367,0
504,10378,279138
504,10497.1,649275
504,10728.5,0
504,13050.6,162927
504,13224,225982
504,13650,0
504,13656.4,429302
504,13704,98367
504,13885.8,33861
504,14161,0
504,14513,0
504,14709.8,111148
504,14955,0
504,15645.7,0
504,15733.4,540604
504,15751,1800531
504,16013.8,0
504,16394.5,0
504,16578.8,109361
504,17047.6,0
504,17074.4,0
504,17206,0
504,17371,45573
504,17683.1,3284818
504,18063,0
504,18218,357725
504,18346,709434
504,18556,0
504,18854,0
504,18855,0
504,18978.2,121112
504,19132.3,0
504,19284,28936690
504,20175,0
504,22791,5949770
504,26286,0
504,26298,2911410
504,27604,2723410
504,27760,93119480
504,28277,0
504,29035,15851300
504,30156,7462320
504,30157,8342
504,31767,1803152
504,31773,2679800
604,4280,741291
604,6921,39516
604,8204,0
604,8290,48207
604,8754.3,0
604,9240.7,0
604,10359,494008
604,10367,0
604,10378,79414
604,10497.1,266686
604,10728.5,0
604,13050.6,46729
604,13224,64878
604,13650,0
604,13656.4,155256
604,13704,35692
604,13885.8,12542
604,14161,0
604,14513,0
604,14709.8,35043
604,14955,0
604,15645.7,0
604,15733.4,210876
604,15751,602854
604,16013.8,0
604,16394.5,0
604,16578.8,41327
604,17047.6,0
604,17074.4,0
604,17206,0
604,17371,17986
604,17683.1,1777440
604,18063,0
604,18218,152584
604,18346,321389
604,18556,0
604,18854,0
604,18855,0
604,18978.2,55784
604,19132.3,0
604,19284,18052320
604,20175,0
604,22791,3807410
604,26286,0
604,26298,1965930
604,27604,1939288
604,27760,96368500
604,28277,0
604,29035,11596100
604,30156,4785770
604,30157,39596
604,31767,1433700
604,31773,2089130
704,4280,534768
704,6921,27375
704,8204,0
704,8290,34873
704,8754.3,0
704,9240.7,0
704,10359,355917
704,10367,0
704,10378,56524
704,10497.1,194240
704,10728.5,0
704,13050.6,33738
704,13224,47101
704,13650,0
704,13656.4,115333
704,13704,26427
704,13885.8,8875
704,14161,0
704,14513,0
704,14709.8,26325
704,14955,0
704,15645.7,0
704,15733.4,170479
704,15751,518038
704,16013.8,0
704,16394.5,0
704,16578.8,35045
704,17047.6,0
704,17074.4,0
704,17206,0
704,17371,15284
704,17683.1,1897891
704,18063,0
704,18218,143995
704,18346,312585
704,18556,0
704,18854,0
704,18855,0
704,18978.2,53543
704,19132.3,0
704,19284,19143300
704,20175,0
704,22791,4006920
704,26286,0
704,26298,2019190
704,27604,2012715
704,27760,100043090
704,28277,0
704,29035,12013100
704,30156,5055770
704,30157,38790
704,31767,1481947
704,31773,2153540
804,4280,71164
804,6921,7678
804,8204,0
804,8290,9344
804,8754.3,0
804,9240.7,0
804,10359,94350
804,10367,0
804,10378,15296
804,10497.1,51845
804,10728.5,115711
804,13050.6,11034
804,13224,15091
804,13650,5219
804,13656.4,38150
804,13704,8693
804,13885.8,2954
804,14161,99048
804,14513,0
804,14709.8,8602
804,14955,7446
804,15645.7,0
804,15733.4,52727
804,15751,152591
804,16013.8,841069
804,16394.5,0
804,16578.8,13375
804,17047.6,0
804,17074.4,399165
804,17206,0
804,17371,6241
804,17683.1,467284
804,18063,0
804,18218,46294
804,18346,98986
804,18556,0
804,18854,0
804,18855,0
804,18978.2,17039
804,19132.3,569951
804,19284,5538910
804,20175,0
804,22791,1946374
804,26286,0
804,26298,1002760
804,27604,980869
804,27760,135715450
804,28277,2247549
804,29035,9191220
804,30156,3698520
804,30157,5182680
804,31767,1544780
804,31773,2271060
405,4280,4111
405,6921,6
405,8204,0
405,8290,0
405,8754.3,0
405,9240.7,0
405,10359,0
405,10367,1
405,10378,3
405,10497.1,3
405,10728.5,0
405,13050.6,9
405,13224,0
405,13650,2
405,13656.4,0
405,13704,0
405,13885.8,1
405,14161,0
405,14513,0
405,14709.8,0
405,14955,0
405,15645.7,0
405,15733.4,196
405,15751,43
405,16013.8,0
405,16394.5,0
405,16578.8,31
405,17047.6,216792900
405,17074.4,0
405,17206,25905060
405,17371,412229
405,17683.1,21219890
405,18063,1486780
405,18218,2030706
405,18346,4391910
405,18556,0
405,18854,0
405,18855,0
405,18978.2,755142
405,19132.3,0
405,19284,0
405,20175,0
405,22791,53
405,26286,0
405,26298,0
405,27604,0
405,27760,11864
405,28277,111
405,29035,646
405,30156,1876
405,30157,1516
405,31767,384
405,31773,1289
505,4280,2762
505,6921,486
505,8204,107
505,8290,667
505,8754.3,60
505,9240.7,28
505,10359,6981
505,10367,650
505,10378,2304
505,10497.1,7614
505,10728.5,11859
505,13050.6,1633
505,13224,3140
505,13650,637
505,13656.4,3931
505,13704,1207
505,13885.8,535
505,14161,0
505,14513,368
505,14709.8,846
505,14955,0
505,15645.7,0
505,15733.4,6163
505,15751,8500
505,16013.8,0
505,16394.5,188
505,16578.8,1467
505,17047.6,128330
505,17074.4,0
505,17206,1474801
505,17371,15196
505,17683.1,350089
505,18063,78467
505,18218,127544
505,18346,244915
505,18556,238280
505,18854,56089
505,18855,58601
505,18978.2,38458
505,19132.3,0
505,19284,2716515
505,20175,0
505,22791,1887173
505,26286,0
505,26298,1003610
505,27604,1021681
505,27760,109293910
505,28277,3313975
505,29035,8461190
505,30156,2554330
505,30157,3812980
505,31767,1459489
505,31773,3607900
605,4280,183814
605,6921,42901
605,8204,16942
605,8290,83405
605,8754.3,8278
605,9240.7,4269
605,10359,4054540
605,10367,0
605,10378,294132
605,10497.1,1688824
605,10728.5,0
605,13050.6,188580
605,13224,299499
605,13650,0
605,13656.4,410676
605,13704,95349
605,13885.8,58599
605,14161,0
605,14513,0
605,14709.8,89285
605,14955,0
605,15645.7,0
605,15733.4,849989
605,15751,757688
605,16013.8,0
605,16394.5,19860
605,16578.8,117221
605,17047.6,0
605,17074.4,0
605,17206,0
605,17371,77190
605,17683.1,948301
605,18063,0
605,18218,467938
605,18346,1606610
605,18556,0
605,18854,241282
605,18855,248299
605,18978.2,147749
605,19132.3,0
605,19284,6990499
605,20175,0
605,22791,3336278
605,26286,0
605,26298,2279050
605,27604,1637505
605,27760,95867670
605,28277,0
605,29035,12548600
605,30156,5389540
605,30157,7847710
605,31767,1646729
605,31773,4651310
705,4280,9426
705,6921,11421
705,8204,184
705,8290,11114
705,8754.3,764
705,9240.7,480
705,10359,10921
705,10367,0
705,10378,55594
705,10497.1,70654
705,10728.5,11158
705,13050.6,32930
705,13224,77512
705,13650,1051
705,13656.4,10454
705,13704,2573
705,13885.8,850
705,14161,3110
705,14513,0
705,14709.8,13399
705,14955,2123
705,15645.7,0
705,15733.4,9453
705,15751,182600
705,16013.8,485355
705,16394.5,4116
705,16578.8,3576
705,17047.6,0
705,17074.4,471968
705,17206,0
705,17371,1942
705,17683.1,425490
705,18063,0
705,18218,149256
705,18346,7857
705,18556,0
705,18854,5079
705,18855,5474
705,18978.2,4436
705,19132.3,433159
705,19284,2838817
705,20175,0
705,22791,2377993
705,26286,58932
705,26298,1124930
705,27604,1156560
705,27760,107510270
705,28277,3768043
705,29035,9434610
705,30156,3366070
705,30157,4958430
705,31767,959639.8
705,31773,481823
805,4280,0
805,6921,8760
805,8204,0
805,8290,11252
805,8754.3,0
805,9240.7,0
805,10359,115250
805,10367,0
805,10378,0
805,10497.1,67595
805,10728.5,131792
805,13050.6,11664
805,13224,14968
805,13650,5889
805,13656.4,43797
805,13704,0
805,13885.8,344
805,14161,102724
805,14513,0
805,14709.8,0
805,14955,8534
805,15645.7,0
805,15733.4,59220
805,15751,142945
805,16013.8,901743
805,16394.5,0
805,16578.8,14129
805,17047.6,0
805,17074.4,430177
805,17206,0
805,17371,6744
805,17683.1,873943
805,18063,0
805,18218,0
805,18346,137527
805,18556,0
805,18854,0
805,18855,0
805,18978.2,23638
805,19132.3,1067374
805,19284,12704780
805,20175,0
805,22791,4352430
805,26286,0
805,26298,1943520
805,27604,1974342
805,27760,0
805,28277,2430860
805,29035,9640520
805,30156,3094490
805,30157,4349790
805,31767,1468180
805,31773,1934330
406,4280,1363
406,6921,0
406,8204,0
406,8290,0
406,8754.3,0
406,9240.7,0
406,10359,0
406,10367,2
406,10378,3
406,10497.1,1
406,10728.5,0
406,13050.6,1
