CellID,SpID,Abundance
606,10018,529522
606,10940,37314
606,10941,39666
606,11183,44335
606,19219.5,991084
606,20136,68428
606,20756,56100
606,20757,58370
606,21063.8,1369772
606,21610.1,225371
606,21822.7,194278
606,21959.3,39154
606,21987.6,1431264
606,22047,701315
606,22885.4,4851370
606,23465,269975
606,23683,391147
606,24163.5,10771700
606,24617.8,2210583
606,24801.8,2515144
606,25317.3,2333220
606,25531,564524
606,25619,1230335
606,25755,664279
606,26434.2,3748480
606,26472,184572
606,27454,44363200
606,27455,62516700
606,28058,4244800
606,28059,4391800
606,29300,4985763
606,29400,184756
606,29431,4887320
606,29528,470158
606,29671,12651900
606,30129,16832630
606,30506,7116015
606,30507,7226527
606,30640,14364024
