"","model","simID","dispersal","density","environment","speciationRate","fission","protracted","replicate","env","nic","com","dis","mut","tim"
"448","fh",448,1,1,1,5,1,2,5,"High","Medium","High","High","High","Medium"
"449","fh",449,0,0,0,2,2,2,5,"Low","Medium","Low","Low","Low","Medium"
"450","fh",450,1,0,0,2,2,2,5,"Low","Medium","Low","High","Low","Medium"
"451","fh",451,0,1,0,2,2,2,5,"Low","Medium","High","Low","Low","Medium"
"452","fh",452,1,1,0,2,2,2,5,"Low","Medium","High","High","Low","Medium"
"453","fh",453,0,0,1,2,2,2,5,"High","Medium","Low","Low","Low","Medium"
"454","fh",454,1,0,1,2,2,2,5,"High","Medium","Low","High","Low","Medium"
"455","fh",455,0,1,1,2,2,2,5,"High","Medium","High","Low","Low","Medium"
"456","fh",456,1,1,1,2,2,2,5,"High","Medium","High","High","Low","Medium"
"457","fh",457,0,0,0,5,2,2,5,"Low","Medium","Low","Low","High","Medium"
"458","fh",458,1,0,0,5,2,2,5,"Low","Medium","Low","High","High","Medium"
"459","fh",459,0,1,0,5,2,2,5,"Low","Medium","High","Low","High","Medium"
"460","fh",460,1,1,0,5,2,2,5,"Low","Medium","High","High","High","Medium"
"461","fh",461,0,0,1,5,2,2,5,"High","Medium","Low","Low","High","Medium"
"462","fh",462,1,0,1,5,2,2,5,"High","Medium","Low","High","High","Medium"
"463","fh",463,0,1,1,5,2,2,5,"High","Medium","High","Low","High","Medium"
"464","fh",464,1,1,1,5,2,2,5,"High","Medium","High","High","High","Medium"
"465","fh",465,0,0,0,2,3,2,5,"Low","Medium","Low","Low","Low","Medium"
"466","fh",466,1,0,0,2,3,2,5,"Low","Medium","Low","High","Low","Medium"
"467","fh",467,0,1,0,2,3,2,5,"Low","Medium","High","Low","Low","Medium"
"468","fh",468,1,1,0,2,3,2,5,"Low","Medium","High","High","Low","Medium"
"469","fh",469,0,0,1,2,3,2,5,"High","Medium","Low","Low","Low","Medium"
"470","fh",470,1,0,1,2,3,2,5,"High","Medium","Low","High","Low","Medium"
"471","fh",471,0,1,1,2,3,2,5,"High","Medium","High","Low","Low","Medium"
"472","fh",472,1,1,1,2,3,2,5,"High","Medium","High","High","Low","Medium"
"473","fh",473,0,0,0,5,3,2,5,"Low","Medium","Low","Low","High","Medium"
"474","fh",474,1,0,0,5,3,2,5,"Low","Medium","Low","High","High","Medium"
"475","fh",475,0,1,0,5,3,2,5,"Low","Medium","High","Low","High","Medium"
"476","fh",476,1,1,0,5,3,2,5,"Low","Medium","High","High","High","Medium"
"477","fh",477,0,0,1,5,3,2,5,"High","Medium","Low","Low","High","Medium"
"478","fh",478,1,0,1,5,3,2,5,"High","Medium","Low","High","High","Medium"
"479","fh",479,0,1,1,5,3,2,5,"High","Medium","High","Low","High","Medium"
"480","fh",480,1,1,1,5,3,2,5,"High","Medium","High","High","High","Medium"
