"model","simID","L","v","Psi","s_phi","s_spar","s_disp","ticks","seed","file"
"XE","11432","333","1e-04","0.25","7071.06781186548","0.1","0.1","1e+07","2","11432.m"
"XE","11433","333","1e-04","0.25","7071.06781186548","0.1","0.1","1e+07","3","11433.m"
"XE","11441","333","1e-04","0.25","707106.781186548","0.1","0.1","1e+07","1","11441.m"
"XE","11442","333","1e-04","0.25","707106.781186548","0.1","0.1","1e+07","2","11442.m"
"XE","11443","333","1e-04","0.25","707106.781186548","0.1","0.1","1e+07","3","11443.m"
"XE","11451","333","1e-04","0.25","70710678.1186548","0.1","0.1","1e+07","1","11451.m"
"XE","11452","333","1e-04","0.25","70710678.1186548","0.1","0.1","1e+07","2","11452.m"
"XE","11453","333","1e-04","0.25","70710678.1186548","0.1","0.1","1e+07","3","11453.m"
"XE","11461","333","1e-04","0.25","-1","0.1","0.1","1e+07","1","11461.m"
"XE","11462","333","1e-04","0.25","-1","0.1","0.1","1e+07","2","11462.m"
"XE","11463","333","1e-04","0.25","-1","0.1","0.1","1e+07","3","11463.m"
"XE","11511","333","1e-04","0.75","0.707106781186548","0.1","0.1","1e+07","1","11511.m"
"XE","11512","333","1e-04","0.75","0.707106781186548","0.1","0.1","1e+07","2","11512.m"
"XE","11513","333","1e-04","0.75","0.707106781186548","0.1","0.1","1e+07","3","11513.m"
"XE","11521","333","1e-04","0.75","70.7106781186548","0.1","0.1","1e+07","1","11521.m"
"XE","11522","333","1e-04","0.75","70.7106781186548","0.1","0.1","1e+07","2","11522.m"
"XE","11523","333","1e-04","0.75","70.7106781186548","0.1","0.1","1e+07","3","11523.m"
"XE","11531","333","1e-04","0.75","7071.06781186548","0.1","0.1","1e+07","1","11531.m"
"XE","11532","333","1e-04","0.75","7071.06781186548","0.1","0.1","1e+07","2","11532.m"
"XE","11533","333","1e-04","0.75","7071.06781186548","0.1","0.1","1e+07","3","11533.m"
"XE","11541","333","1e-04","0.75","707106.781186548","0.1","0.1","1e+07","1","11541.m"
"XE","11542","333","1e-04","0.75","707106.781186548","0.1","0.1","1e+07","2","11542.m"
"XE","11543","333","1e-04","0.75","707106.781186548","0.1","0.1","1e+07","3","11543.m"
"XE","11551","333","1e-04","0.75","70710678.1186548","0.1","0.1","1e+07","1","11551.m"
"XE","11552","333","1e-04","0.75","70710678.1186548","0.1","0.1","1e+07","2","11552.m"
"XE","11553","333","1e-04","0.75","70710678.1186548","0.1","0.1","1e+07","3","11553.m"
"XE","11561","333","1e-04","0.75","-1","0.1","0.1","1e+07","1","11561.m"
"XE","11562","333","1e-04","0.75","-1","0.1","0.1","1e+07","2","11562.m"
"XE","11563","333","1e-04","0.75","-1","0.1","0.1","1e+07","3","11563.m"
"XE","12111","333","1e-04","0","0.707106781186548","1","0.1","1e+07","1","12111.m"
"XE","12112","333","1e-04","0","0.707106781186548","1","0.1","1e+07","2","12112.m"
"XE","12113","333","1e-04","0","0.707106781186548","1","0.1","1e+07","3","12113.m"
"XE","12121","333","1e-04","0","70.7106781186548","1","0.1","1e+07","1","12121.m"
"XE","12122","333","1e-04","0","70.7106781186548","1","0.1","1e+07","2","12122.m"
"XE","12123","333","1e-04","0","70.7106781186548","1","0.1","1e+07","3","12123.m"
"XE","12131","333","1e-04","0","7071.06781186548","1","0.1","1e+07","1","12131.m"
"XE","12132","333","1e-04","0","7071.06781186548","1","0.1","1e+07","2","12132.m"
"XE","12133","333","1e-04","0","7071.06781186548","1","0.1","1e+07","3","12133.m"
"XE","12141","333","1e-04","0","707106.781186548","1","0.1","1e+07","1","12141.m"
"XE","12142","333","1e-04","0","707106.781186548","1","0.1","1e+07","2","12142.m"
"XE","12143","333","1e-04","0","707106.781186548","1","0.1","1e+07","3","12143.m"
"XE","12151","333","1e-04","0","70710678.1186548","1","0.1","1e+07","1","12151.m"
"XE","12152","333","1e-04","0","70710678.1186548","1","0.1","1e+07","2","12152.m"
"XE","12153","333","1e-04","0","70710678.1186548","1","0.1","1e+07","3","12153.m"
"XE","12161","333","1e-04","0","-1","1","0.1","1e+07","1","12161.m"
"XE","12162","333","1e-04","0","-1","1","0.1","1e+07","2","12162.m"
"XE","12163","333","1e-04","0","-1","1","0.1","1e+07","3","12163.m"
"XE","12211","333","1e-04","0.5","0.707106781186548","1","0.1","1e+07","1","12211.m"
"XE","12212","333","1e-04","0.5","0.707106781186548","1","0.1","1e+07","2","12212.m"
"XE","12213","333","1e-04","0.5","0.707106781186548","1","0.1","1e+07","3","12213.m"
"XE","12221","333","1e-04","0.5","70.7106781186548","1","0.1","1e+07","1","12221.m"
"XE","12222","333","1e-04","0.5","70.7106781186548","1","0.1","1e+07","2","12222.m"
"XE","12223","333","1e-04","0.5","70.7106781186548","1","0.1","1e+07","3","12223.m"
"XE","12231","333","1e-04","0.5","7071.06781186548","1","0.1","1e+07","1","12231.m"
"XE","12232","333","1e-04","0.5","7071.06781186548","1","0.1","1e+07","2","12232.m"
"XE","12233","333","1e-04","0.5","7071.06781186548","1","0.1","1e+07","3","12233.m"
"XE","12241","333","1e-04","0.5","707106.781186548","1","0.1","1e+07","1","12241.m"
"XE","12242","333","1e-04","0.5","707106.781186548","1","0.1","1e+07","2","12242.m"
"XE","12243","333","1e-04","0.5","707106.781186548","1","0.1","1e+07","3","12243.m"
"XE","12251","333","1e-04","0.5","70710678.1186548","1","0.1","1e+07","1","12251.m"
"XE","12252","333","1e-04","0.5","70710678.1186548","1","0.1","1e+07","2","12252.m"
"XE","12253","333","1e-04","0.5","70710678.1186548","1","0.1","1e+07","3","12253.m"
"XE","12261","333","1e-04","0.5","-1","1","0.1","1e+07","1","12261.m"
"XE","12262","333","1e-04","0.5","-1","1","0.1","1e+07","2","12262.m"
"XE","12263","333","1e-04","0.5","-1","1","0.1","1e+07","3","12263.m"
"XE","12311","333","1e-04","1","0.707106781186548","1","0.1","1e+07","1","12311.m"
"XE","12312","333","1e-04","1","0.707106781186548","1","0.1","1e+07","2","12312.m"
"XE","12313","333","1e-04","1","0.707106781186548","1","0.1","1e+07","3","12313.m"
"XE","12321","333","1e-04","1","70.7106781186548","1","0.1","1e+07","1","12321.m"
"XE","12322","333","1e-04","1","70.7106781186548","1","0.1","1e+07","2","12322.m"
"XE","12323","333","1e-04","1","70.7106781186548","1","0.1","1e+07","3","12323.m"
"XE","12331","333","1e-04","1","7071.06781186548","1","0.1","1e+07","1","12331.m"
"XE","12332","333","1e-04","1","7071.06781186548","1","0.1","1e+07","2","12332.m"
"XE","12333","333","1e-04","1","7071.06781186548","1","0.1","1e+07","3","12333.m"
"XE","12341","333","1e-04","1","707106.781186548","1","0.1","1e+07","1","12341.m"
"XE","12342","333","1e-04","1","707106.781186548","1","0.1","1e+07","2","12342.m"
"XE","12343","333","1e-04","1","707106.781186548","1","0.1","1e+07","3","12343.m"
"XE","12351","333","1e-04","1","70710678.1186548","1","0.1","1e+07","1","12351.m"
"XE","12352","333","1e-04","1","70710678.1186548","1","0.1","1e+07","2","12352.m"
"XE","12353","333","1e-04","1","70710678.1186548","1","0.1","1e+07","3","12353.m"
"XE","12361","333","1e-04","1","-1","1","0.1","1e+07","1","12361.m"
"XE","12362","333","1e-04","1","-1","1","0.1","1e+07","2","12362.m"
"XE","12363","333","1e-04","1","-1","1","0.1","1e+07","3","12363.m"
"XE","12411","333","1e-04","0.25","0.707106781186548","1","0.1","1e+07","1","12411.m"
"XE","12412","333","1e-04","0.25","0.707106781186548","1","0.1","1e+07","2","12412.m"
"XE","12413","333","1e-04","0.25","0.707106781186548","1","0.1","1e+07","3","12413.m"
"XE","12421","333","1e-04","0.25","70.7106781186548","1","0.1","1e+07","1","12421.m"
"XE","12422","333","1e-04","0.25","70.7106781186548","1","0.1","1e+07","2","12422.m"
"XE","12423","333","1e-04","0.25","70.7106781186548","1","0.1","1e+07","3","12423.m"
"XE","12431","333","1e-04","0.25","7071.06781186548","1","0.1","1e+07","1","12431.m"
"XE","12432","333","1e-04","0.25","7071.06781186548","1","0.1","1e+07","2","12432.m"
"XE","12433","333","1e-04","0.25","7071.06781186548","1","0.1","1e+07","3","12433.m"
"XE","12441","333","1e-04","0.25","707106.781186548","1","0.1","1e+07","1","12441.m"
